,noun,adj,propn,adv,intj,cconj,sconj,adp,det,num,punct,symbol,pron,abbr,TTR,avg_word_len,avr_sent_len,hapax_legomena,coref,see_pron,see_det,1st_pron,2nd_pron,3rd_pron,active_voice,passive_voice,1st_prs_verb,2nd_prs_verb,3rd_prs_verb,core_verb,verbtype_ratio,da_inf,gerund,supine,verb_particle,discourse,pres_tense,past_tense,ind_mood,cond_mood,imp_mood,quot_mood,neg_polarity,nom_case,gen_case,part_case,ill_case,ine_case,ela_case,alla_case,ade_case,abl_case,tra_case,ter_case,ess_case,abe_case,com_case,nsubj,nsubj_cop,modal,acl:relc,csubj,csubj_cop,obj,ccomp,xcomp,obl,nmod,appos,nummod,amod,advcl,voc,cop,conj,cc,yneemid,emoticons
past_tense,-0.06,0.02,0.45,-0.24,0.27,0.2,-0.08,0.29,0.32,-0.44,-0.03,0.21,0.17,-0.35,0.07,0.01,0.37,0.06,0.17,-0.31,0.33,0.43,-0.21,0.18,0.2,0.21,0.6,-0.45,0.3,-0.03,0.24,-0.53,0.13,0.05,0.12,0.27,-0.87,1.0,0.56,-0.65,-0.3,0.26,-0.57,-0.05,0.48,-0.13,0.06,0.11,0.21,0.24,-0.12,-0.21,0.2,0.03,0.08,-0.03,0.22,0.19,-0.11,-0.22,-0.09,0.09,0.1,0.09,0.15,0.29,0.3,0.38,0.11,-0.3,0.07,-0.13,0.26,-0.29,0.42,0.19,0.03,0.22
ind_mood,-0.42,-0.33,0.25,-0.06,0.32,0.07,0.23,0.28,-0.06,-0.63,0.11,0.26,0.59,-0.45,-0.21,-0.32,0.49,-0.18,0.55,0.31,-0.12,0.4,-0.03,0.51,0.61,0.08,0.49,-0.36,0.57,0.18,0.4,-0.32,0.06,0.33,-0.05,0.32,-0.25,0.56,1.0,-0.51,-0.41,0.26,-0.29,-0.28,0.14,0.06,0.22,-0.21,-0.2,0.36,-0.17,0.28,0.06,-0.16,-0.08,0.27,0.23,0.57,0.05,-0.07,-0.11,0.33,-0.28,0.17,0.09,0.41,0.42,-0.09,-0.08,-0.53,-0.28,0.2,0.35,-0.31,0.24,0.07,0.03,0.26
cond_mood,0.19,-0.0,-0.22,0.04,-0.31,-0.36,-0.13,-0.14,-0.03,0.45,-0.01,-0.24,-0.31,-0.03,-0.08,0.12,-0.42,-0.12,-0.28,0.2,0.03,-0.43,-0.0,-0.37,-0.07,-0.05,-0.41,0.11,-0.24,0.35,-0.15,0.02,-0.27,0.08,-0.02,-0.31,0.59,-0.65,-0.51,1.0,0.16,-0.34,0.45,0.22,-0.3,0.15,-0.02,0.44,-0.42,-0.08,-0.07,0.01,-0.15,-0.21,-0.28,-0.06,-0.18,-0.33,0.35,0.34,0.39,-0.15,-0.08,-0.27,-0.38,-0.27,-0.16,-0.3,-0.03,0.29,-0.07,0.05,-0.29,0.59,-0.26,-0.35,0.16,-0.24
imp_mood,-0.07,-0.2,0.02,-0.32,0.09,-0.18,-0.14,-0.46,-0.02,0.71,0.32,-0.08,-0.19,0.45,-0.29,-0.2,-0.19,-0.14,-0.01,-0.19,-0.1,-0.06,0.17,-0.22,0.11,-0.2,-0.1,0.84,-0.32,-0.06,0.08,0.17,-0.08,-0.0,-0.11,0.09,0.33,-0.3,-0.41,0.16,1.0,-0.11,0.01,0.22,-0.55,0.17,0.01,-0.05,0.12,-0.02,-0.2,-0.01,-0.1,0.1,0.14,0.11,-0.29,-0.17,-0.15,0.04,-0.19,-0.16,0.19,0.18,-0.23,-0.04,-0.33,-0.22,0.07,0.63,-0.26,0.0,0.02,0.06,-0.2,-0.18,0.04,-0.09
quot_mood,-0.21,0.21,0.59,0.34,0.12,0.11,-0.19,0.14,0.08,-0.08,-0.12,0.88,-0.02,0.16,0.53,0.18,-0.15,0.63,0.0,0.24,-0.0,-0.12,-0.14,0.35,0.3,-0.04,-0.04,-0.25,0.5,0.28,-0.19,0.1,0.38,0.13,0.48,0.12,-0.08,0.26,0.26,-0.34,-0.11,1.0,-0.01,0.15,0.0,-0.23,0.11,0.11,0.4,-0.14,0.12,0.41,0.45,0.46,0.81,0.66,0.48,0.12,0.02,0.3,-0.32,0.68,0.41,-0.07,-0.01,0.3,-0.08,0.13,0.56,0.11,0.27,-0.2,0.74,0.1,0.3,0.1,0.59,0.88
neg_polarity,0.08,-0.01,-0.15,0.12,-0.28,-0.15,-0.18,-0.16,-0.07,0.38,-0.08,0.07,-0.11,0.32,0.25,0.27,-0.31,0.18,-0.16,0.24,-0.11,-0.24,0.24,-0.18,-0.14,0.01,-0.52,0.04,-0.24,0.35,-0.18,0.18,-0.06,-0.04,0.07,-0.28,0.52,-0.57,-0.29,0.45,0.01,-0.01,1.0,0.32,-0.3,-0.16,-0.04,-0.01,-0.1,-0.15,0.15,-0.15,0.01,0.22,0.07,-0.01,0.14,0.0,0.37,0.55,0.05,0.08,-0.05,-0.38,-0.17,-0.2,-0.25,-0.23,0.14,0.3,0.04,-0.06,0.15,0.44,-0.06,-0.15,0.45,0.07
nom_case,0.28,0.34,0.05,-0.17,0.02,0.03,-0.23,0.02,0.4,0.54,-0.34,0.3,-0.31,0.25,0.16,0.35,-0.09,0.29,-0.22,-0.09,0.12,-0.01,-0.3,-0.38,-0.14,0.15,-0.43,-0.07,0.14,0.26,-0.02,-0.11,-0.01,0.12,0.08,0.02,-0.01,-0.05,-0.28,0.22,0.22,0.15,0.32,1.0,-0.2,-0.31,0.22,0.21,-0.06,-0.5,-0.2,-0.17,0.07,0.28,0.1,0.03,0.51,0.03,0.35,0.46,-0.11,-0.01,0.27,-0.47,-0.14,0.15,-0.47,0.08,0.27,0.55,0.17,-0.36,0.27,0.54,0.39,0.04,0.47,0.3
gen_case,0.46,0.14,0.17,-0.21,-0.31,-0.1,0.23,0.45,0.42,-0.37,-0.57,0.04,-0.03,-0.51,0.46,0.5,0.49,0.21,-0.34,-0.07,0.48,0.04,-0.47,0.15,-0.07,0.24,0.17,-0.57,0.2,0.05,-0.46,0.06,0.25,-0.06,0.34,-0.31,-0.47,0.48,0.14,-0.3,-0.55,0.0,-0.3,-0.2,1.0,-0.04,-0.07,0.08,0.09,0.19,0.33,-0.12,0.16,0.14,0.06,-0.09,0.16,-0.03,-0.3,-0.09,0.13,0.11,0.08,0.32,0.04,-0.0,0.55,0.79,0.03,-0.33,0.24,0.19,-0.17,-0.39,0.16,-0.1,-0.06,0.04
part_case,0.14,-0.07,-0.31,-0.15,-0.44,0.18,0.37,-0.12,0.18,0.0,-0.09,-0.15,-0.03,-0.14,-0.05,-0.26,0.06,-0.15,-0.15,-0.16,0.07,-0.16,0.0,-0.11,-0.03,0.18,0.08,0.34,-0.13,-0.13,0.03,-0.27,0.0,0.18,-0.33,-0.44,0.1,-0.13,0.06,0.15,0.17,-0.23,-0.16,-0.31,-0.04,1.0,-0.07,0.06,-0.18,0.35,-0.09,0.15,-0.26,-0.09,-0.17,0.15,-0.31,-0.45,0.3,-0.26,0.18,-0.08,0.05,0.3,0.28,-0.17,0.11,0.04,-0.32,0.14,-0.06,0.39,-0.21,-0.01,-0.26,0.17,-0.23,-0.15
ill_case,-0.05,-0.23,-0.11,0.09,0.01,-0.28,0.27,0.31,0.04,-0.05,-0.35,0.13,0.21,-0.0,-0.14,-0.12,0.42,-0.17,0.11,0.11,-0.04,0.11,0.34,0.27,0.43,-0.06,-0.16,0.02,0.29,0.37,-0.04,-0.14,0.01,0.91,-0.21,0.01,-0.04,0.06,0.22,-0.02,0.01,0.11,-0.04,0.22,-0.07,-0.07,1.0,0.1,-0.35,-0.23,-0.18,0.24,0.03,-0.11,0.05,0.03,0.03,0.38,-0.08,0.31,-0.38,-0.15,0.15,0.04,-0.31,0.52,0.01,-0.04,-0.03,0.02,-0.03,0.31,0.24,-0.0,0.12,-0.28,-0.0,0.13
ine_case,0.32,0.05,0.21,-0.14,-0.14,-0.16,-0.08,0.05,0.42,0.14,-0.15,0.04,-0.38,-0.11,0.16,0.32,-0.07,0.18,-0.4,-0.31,0.55,-0.25,-0.24,-0.06,-0.0,0.1,-0.17,-0.29,0.11,0.11,-0.17,-0.43,0.06,0.26,0.05,-0.14,-0.16,0.11,-0.21,0.44,-0.05,0.11,-0.01,0.21,0.08,0.06,0.1,1.0,-0.23,0.07,-0.08,-0.05,-0.08,-0.13,0.01,-0.08,0.01,-0.12,0.17,0.09,-0.12,-0.08,0.03,-0.3,-0.16,-0.09,0.04,0.19,0.24,0.15,0.1,0.03,-0.03,0.28,0.13,-0.17,0.34,0.04
ela_case,0.03,0.45,0.22,0.18,0.17,0.22,-0.42,-0.18,-0.12,-0.01,0.06,0.35,-0.14,0.12,0.43,0.09,-0.47,0.46,-0.09,-0.26,-0.07,-0.1,0.02,-0.01,-0.31,-0.01,-0.01,0.11,-0.05,-0.13,-0.11,0.24,0.56,-0.5,0.28,0.17,-0.28,0.21,-0.2,-0.42,0.12,0.4,-0.1,-0.06,0.09,-0.18,-0.35,-0.23,1.0,-0.08,0.31,-0.21,0.31,0.69,0.71,0.24,0.25,-0.35,-0.1,-0.02,0.13,0.33,0.61,0.21,0.13,-0.3,-0.03,0.37,0.05,0.14,0.41,-0.29,0.41,-0.03,-0.11,0.21,-0.01,0.34
alla_case,0.06,-0.19,0.07,-0.55,-0.16,-0.13,0.03,0.17,-0.02,-0.17,0.19,-0.2,0.08,-0.3,-0.03,-0.06,0.19,-0.14,-0.0,-0.08,0.17,-0.02,-0.08,0.15,0.41,-0.06,0.38,-0.05,0.06,0.12,-0.02,-0.09,0.29,0.04,0.03,-0.16,-0.03,0.24,0.36,-0.08,-0.02,-0.14,-0.15,-0.5,0.19,0.35,-0.23,0.07,-0.08,1.0,-0.21,0.29,-0.29,-0.2,-0.19,-0.02,-0.25,-0.03,-0.19,-0.07,0.21,0.07,-0.15,0.25,-0.01,-0.07,0.72,0.11,-0.33,-0.23,-0.16,0.45,-0.13,-0.29,-0.15,-0.13,-0.16,-0.21
ade_case,0.16,0.2,-0.06,0.19,-0.38,-0.35,-0.13,-0.03,-0.11,-0.1,-0.18,0.03,0.1,-0.05,0.37,0.34,-0.23,0.17,-0.16,0.24,-0.18,-0.1,-0.21,0.38,-0.14,-0.17,-0.33,-0.07,0.14,-0.1,-0.4,0.34,0.16,-0.32,0.27,-0.38,0.08,-0.12,-0.17,-0.07,-0.2,0.12,0.15,-0.2,0.33,-0.09,-0.18,-0.08,0.31,-0.21,1.0,-0.19,0.37,0.32,0.41,0.21,-0.05,0.12,-0.15,0.01,0.33,0.08,0.12,0.11,-0.28,-0.0,0.21,0.27,0.01,-0.09,0.29,-0.07,-0.07,-0.1,-0.44,-0.36,0.04,0.03
abl_case,-0.15,0.03,0.15,0.05,-0.01,-0.11,0.33,0.12,-0.24,-0.05,-0.04,0.37,0.03,-0.01,0.11,-0.08,0.15,0.17,0.01,0.43,-0.24,-0.31,-0.04,0.3,0.55,-0.22,-0.07,0.05,0.45,0.3,-0.25,0.38,0.3,0.38,0.21,-0.01,0.43,-0.21,0.28,0.01,-0.01,0.41,-0.15,-0.17,-0.12,0.15,0.24,-0.05,-0.21,0.29,-0.19,1.0,-0.05,-0.06,0.18,0.54,0.09,0.09,-0.18,0.21,-0.13,0.41,0.12,0.14,-0.05,0.26,0.2,-0.1,0.09,-0.06,-0.0,0.46,0.2,-0.07,-0.02,-0.09,0.16,0.37
tra_case,-0.0,0.13,0.56,0.26,-0.0,-0.14,-0.2,-0.03,0.11,-0.2,-0.16,0.53,-0.17,0.02,0.46,0.35,-0.11,0.55,-0.17,0.39,-0.01,-0.13,0.04,-0.1,0.23,0.28,-0.06,-0.1,0.11,0.41,-0.41,0.29,-0.02,-0.1,0.79,-0.0,0.05,0.2,0.06,-0.15,-0.1,0.45,0.01,0.07,0.16,-0.26,0.03,-0.08,0.31,-0.29,0.37,-0.05,1.0,0.54,0.4,0.55,0.01,0.12,-0.31,0.53,0.04,0.55,0.22,0.27,-0.27,0.16,-0.0,-0.02,0.49,-0.14,0.38,-0.14,0.43,-0.21,0.15,-0.15,0.26,0.52
ter_case,0.18,0.41,0.28,0.03,-0.1,-0.02,-0.11,-0.11,0.26,0.08,-0.32,0.59,-0.16,-0.01,0.64,0.41,-0.23,0.7,-0.26,0.08,0.06,-0.17,-0.07,-0.07,-0.09,0.15,-0.29,0.12,0.04,0.24,-0.43,0.38,0.5,-0.2,0.53,-0.1,0.04,0.03,-0.16,-0.21,0.1,0.46,0.22,0.28,0.14,-0.09,-0.11,-0.13,0.69,-0.2,0.32,-0.06,0.54,1.0,0.69,0.53,0.48,-0.23,-0.03,0.45,0.02,0.61,0.64,0.29,-0.08,-0.17,-0.04,0.39,0.2,0.24,0.43,0.01,0.51,-0.01,-0.03,-0.03,0.31,0.58
ess_case,-0.04,0.26,0.4,0.27,-0.04,-0.09,-0.26,-0.01,0.03,0.11,-0.18,0.7,-0.06,0.17,0.58,0.24,-0.32,0.57,-0.12,0.1,-0.02,-0.21,-0.08,0.34,0.09,-0.12,-0.23,0.03,0.29,0.21,-0.35,0.31,0.56,-0.01,0.41,-0.04,-0.02,0.08,-0.08,-0.28,0.14,0.81,0.07,0.1,0.06,-0.17,0.05,0.01,0.71,-0.19,0.41,0.18,0.4,0.69,1.0,0.59,0.38,-0.11,-0.06,0.28,-0.13,0.54,0.64,0.16,-0.16,0.09,-0.02,0.35,0.36,0.28,0.31,-0.13,0.64,0.09,-0.07,-0.1,0.41,0.7
abe_case,-0.21,0.08,0.49,0.2,0.09,-0.06,0.04,-0.12,0.01,-0.04,-0.09,0.8,0.06,-0.02,0.38,-0.0,-0.11,0.49,0.05,0.55,-0.17,-0.19,-0.11,0.16,0.5,-0.06,-0.04,0.12,0.39,0.5,-0.22,0.31,0.31,0.11,0.54,0.09,0.33,-0.03,0.27,-0.06,0.11,0.66,-0.01,0.03,-0.09,0.15,0.03,-0.08,0.24,-0.02,0.21,0.54,0.55,0.53,0.59,1.0,0.28,0.03,-0.0,0.47,0.07,0.83,0.4,0.31,-0.1,0.12,0.02,-0.03,0.42,0.08,0.1,0.11,0.68,-0.01,0.05,-0.06,0.49,0.8
com_case,0.01,0.42,0.15,0.08,0.21,0.16,-0.07,0.21,0.17,0.03,-0.34,0.61,0.11,-0.23,0.37,0.21,-0.01,0.43,0.09,0.11,-0.05,0.11,-0.33,0.14,-0.02,0.0,-0.12,-0.39,0.48,0.21,0.08,-0.06,0.42,0.01,0.13,0.21,-0.22,0.22,0.23,-0.18,-0.29,0.48,0.14,0.51,0.16,-0.31,0.03,0.01,0.25,-0.25,-0.05,0.09,0.01,0.48,0.38,0.28,1.0,0.06,0.44,0.2,-0.07,0.48,0.43,-0.3,0.08,-0.04,-0.13,0.38,0.14,0.21,0.21,-0.19,0.48,0.39,0.39,0.16,0.54,0.61
nsubj,-0.31,-0.44,0.09,-0.02,0.32,-0.27,0.01,0.32,-0.1,-0.31,0.05,0.05,0.53,-0.03,-0.31,-0.12,0.44,-0.22,0.48,0.4,-0.19,0.48,-0.04,0.56,0.56,-0.24,0.09,-0.27,0.49,0.1,0.22,-0.01,-0.11,0.32,-0.03,0.32,0.02,0.19,0.57,-0.33,-0.17,0.12,0.0,0.03,-0.03,-0.45,0.38,-0.12,-0.35,-0.03,0.12,0.09,0.12,-0.23,-0.11,0.03,0.06,1.0,-0.29,0.11,-0.34,0.05,-0.48,-0.08,-0.27,0.52,0.26,-0.27,0.02,-0.37,-0.31,-0.04,0.17,-0.32,0.19,-0.26,0.05,0.05
nsubj_cop,-0.03,0.25,-0.27,0.18,-0.09,0.3,-0.14,-0.12,0.0,0.19,-0.02,0.12,0.02,-0.09,-0.01,-0.14,-0.37,-0.04,0.08,-0.08,-0.16,-0.07,-0.06,-0.17,-0.29,0.15,-0.17,-0.13,0.09,0.05,0.43,-0.56,-0.05,0.02,-0.4,-0.09,-0.03,-0.11,0.05,0.35,-0.15,0.02,0.37,0.35,-0.3,0.3,-0.08,0.17,-0.1,-0.19,-0.15,-0.18,-0.31,-0.03,-0.06,-0.0,0.44,-0.29,1.0,-0.03,0.26,-0.04,0.12,-0.54,0.2,-0.21,-0.38,-0.09,-0.12,0.34,0.03,-0.25,0.14,0.8,0.08,0.29,0.33,0.11
modal,0.18,0.08,0.3,0.01,-0.12,-0.32,-0.19,0.1,0.12,0.21,-0.35,0.49,-0.23,0.11,0.44,0.4,-0.1,0.47,-0.27,0.45,0.04,-0.3,0.08,-0.23,0.38,0.12,-0.4,-0.08,0.13,0.88,-0.46,0.32,0.19,0.3,0.59,-0.12,0.43,-0.22,-0.07,0.34,0.04,0.3,0.55,0.46,-0.09,-0.26,0.31,0.09,-0.02,-0.07,0.01,0.21,0.53,0.45,0.28,0.47,0.2,0.11,-0.03,1.0,0.08,0.49,0.27,-0.01,-0.42,0.09,0.05,-0.08,0.34,0.16,0.23,0.1,0.51,0.21,0.18,-0.31,0.49,0.49
acl:relc,0.13,0.32,-0.2,-0.09,-0.27,-0.18,-0.3,-0.01,-0.19,-0.06,0.06,-0.23,0.03,-0.4,0.03,0.04,-0.45,-0.15,-0.04,0.2,-0.17,-0.14,-0.27,-0.18,-0.11,-0.04,-0.02,-0.11,-0.04,0.2,-0.01,0.01,0.04,-0.39,0.11,-0.27,0.11,-0.09,-0.11,0.39,-0.19,-0.32,0.05,-0.11,0.13,0.18,-0.38,-0.12,0.13,0.21,0.33,-0.13,0.04,0.02,-0.13,0.07,-0.07,-0.34,0.26,0.08,1.0,-0.01,0.09,0.01,-0.19,-0.19,0.31,0.03,-0.38,-0.14,0.12,-0.07,-0.22,0.3,-0.44,-0.18,-0.19,-0.23
csubj,-0.22,0.06,0.56,0.26,0.2,0.07,-0.05,0.11,0.11,-0.22,-0.15,0.83,0.1,-0.14,0.5,0.09,-0.07,0.63,0.08,0.55,0.03,-0.06,-0.14,0.14,0.41,-0.02,0.13,-0.18,0.31,0.52,-0.22,0.31,0.38,-0.03,0.64,0.2,0.2,0.09,0.33,-0.15,-0.16,0.68,0.08,-0.01,0.11,-0.08,-0.15,-0.08,0.33,0.07,0.08,0.41,0.55,0.61,0.54,0.83,0.48,0.05,-0.04,0.49,-0.01,1.0,0.31,0.26,0.02,-0.06,0.14,0.06,0.42,-0.1,0.11,0.0,0.69,-0.09,0.25,0.06,0.5,0.83
csubj_cop,0.24,0.61,0.05,0.13,-0.09,0.12,-0.22,-0.0,0.04,0.32,-0.4,0.54,-0.27,0.14,0.6,0.16,-0.3,0.57,-0.3,-0.2,-0.1,-0.22,0.04,-0.15,-0.1,-0.11,-0.19,0.19,0.08,0.24,-0.3,0.13,0.63,0.06,0.24,-0.09,-0.18,0.1,-0.28,-0.08,0.19,0.41,-0.05,0.27,0.08,0.05,0.15,0.03,0.61,-0.15,0.12,0.12,0.22,0.64,0.64,0.4,0.43,-0.48,0.12,0.27,0.09,0.31,1.0,0.03,0.01,-0.21,-0.15,0.48,0.1,0.55,0.6,-0.05,0.45,0.32,0.1,0.11,0.28,0.54
obj,-0.04,-0.36,0.26,-0.2,-0.0,-0.25,0.48,-0.14,0.1,-0.33,0.01,-0.0,0.13,-0.37,-0.05,-0.07,0.37,-0.09,0.01,0.15,0.21,-0.05,0.1,0.15,0.26,0.21,0.22,0.33,-0.09,0.09,-0.28,0.37,0.11,0.07,0.23,-0.0,0.1,0.09,0.17,-0.27,0.18,-0.07,-0.38,-0.47,0.32,0.3,0.04,-0.3,0.21,0.25,0.11,0.14,0.27,0.29,0.16,0.31,-0.3,-0.08,-0.54,-0.01,0.01,0.26,0.03,1.0,-0.09,0.05,0.4,0.22,-0.04,-0.34,-0.24,0.58,0.03,-0.72,-0.35,-0.26,-0.35,-0.01
ccomp,-0.06,0.12,-0.11,0.24,0.27,0.94,0.23,-0.08,0.1,-0.25,-0.03,0.1,-0.04,0.27,0.06,-0.35,0.15,0.13,0.06,-0.4,0.15,0.19,0.08,-0.3,-0.48,0.13,0.36,-0.09,-0.25,-0.43,0.31,-0.26,0.07,-0.22,-0.31,0.27,-0.37,0.15,0.09,-0.38,-0.23,-0.01,-0.17,-0.14,0.04,0.28,-0.31,-0.16,0.13,-0.01,-0.28,-0.05,-0.27,-0.08,-0.16,-0.1,0.08,-0.27,0.2,-0.42,-0.19,0.02,0.01,-0.09,1.0,-0.35,-0.31,0.07,0.06,-0.1,0.06,-0.21,0.11,-0.14,0.44,0.94,-0.13,0.1
xcomp,-0.37,-0.31,0.25,-0.13,-0.04,-0.33,0.17,0.32,0.21,-0.23,0.05,0.12,0.42,-0.07,-0.25,-0.03,0.36,-0.28,0.35,0.34,0.06,0.34,-0.12,0.49,0.53,-0.09,0.15,-0.12,0.34,0.14,0.05,-0.09,-0.32,0.46,0.06,-0.04,-0.1,0.29,0.41,-0.27,-0.04,0.3,-0.2,0.15,-0.0,-0.17,0.52,-0.09,-0.3,-0.07,-0.0,0.26,0.16,-0.17,0.09,0.12,-0.04,0.52,-0.21,0.09,-0.19,-0.06,-0.21,0.05,-0.35,1.0,0.13,-0.18,0.13,-0.28,-0.31,0.05,0.13,-0.2,-0.05,-0.32,0.03,0.12
obl,0.21,-0.11,-0.0,-0.39,-0.27,-0.42,0.02,0.53,0.06,-0.45,-0.18,-0.16,0.25,-0.58,0.1,0.16,0.29,-0.09,-0.03,0.17,0.17,0.05,-0.32,0.45,0.45,-0.07,0.18,-0.37,0.39,0.21,-0.27,0.08,0.4,0.15,0.18,-0.27,-0.1,0.3,0.42,-0.16,-0.33,-0.08,-0.25,-0.47,0.55,0.11,0.01,0.04,-0.03,0.72,0.21,0.2,-0.0,-0.04,-0.02,0.02,-0.13,0.26,-0.38,0.05,0.31,0.14,-0.15,0.4,-0.31,0.13,1.0,0.34,-0.45,-0.48,-0.0,0.43,-0.17,-0.42,-0.25,-0.41,-0.31,-0.16
nmod,0.66,0.44,0.08,-0.32,-0.32,-0.03,0.15,0.23,0.39,0.02,-0.62,0.16,-0.28,-0.33,0.59,0.57,0.27,0.39,-0.53,-0.4,0.39,-0.18,-0.48,0.07,-0.26,0.25,-0.14,-0.32,0.27,-0.04,-0.48,0.07,0.6,-0.05,0.2,-0.32,-0.48,0.38,-0.09,-0.3,-0.22,0.13,-0.23,0.08,0.79,0.04,-0.04,0.19,0.37,0.11,0.27,-0.1,-0.02,0.39,0.35,-0.03,0.38,-0.27,-0.09,-0.08,0.03,0.06,0.48,0.22,0.07,-0.18,0.34,1.0,-0.01,0.14,0.42,0.2,-0.02,-0.11,0.11,-0.04,0.08,0.16
appos,-0.12,-0.11,0.79,0.19,0.23,0.08,0.03,-0.28,0.25,0.16,0.0,0.61,-0.3,0.33,0.34,0.28,0.07,0.45,-0.16,0.15,0.31,-0.16,-0.02,-0.16,0.1,0.18,0.03,-0.09,-0.04,0.3,-0.23,0.13,-0.19,-0.04,0.57,0.23,0.04,0.11,-0.08,-0.03,0.07,0.56,0.14,0.27,0.03,-0.32,-0.03,0.24,0.05,-0.33,0.01,0.09,0.49,0.2,0.36,0.42,0.14,0.02,-0.12,0.34,-0.38,0.42,0.1,-0.04,0.06,0.13,-0.45,-0.01,1.0,0.14,-0.02,-0.21,0.5,-0.02,0.48,0.08,0.73,0.61
nummod,0.33,0.35,-0.17,-0.11,-0.22,0.02,-0.32,-0.23,0.06,0.92,-0.2,0.19,-0.46,0.49,0.26,0.17,-0.34,0.3,-0.38,-0.31,-0.17,-0.29,-0.04,-0.34,-0.19,-0.08,-0.43,0.43,-0.08,0.05,-0.11,0.03,0.19,0.01,-0.07,-0.22,0.17,-0.3,-0.53,0.29,0.63,0.11,0.3,0.55,-0.33,0.14,0.02,0.15,0.14,-0.23,-0.09,-0.06,-0.14,0.24,0.28,0.08,0.21,-0.37,0.34,0.16,-0.14,-0.1,0.55,-0.34,-0.1,-0.28,-0.48,0.14,0.14,1.0,0.28,-0.2,0.1,0.61,0.14,0.02,0.42,0.19
amod,0.61,0.86,-0.12,0.2,-0.37,0.2,-0.29,0.13,-0.06,0.1,-0.52,0.27,-0.58,0.16,0.76,0.53,-0.31,0.73,-0.66,-0.25,-0.18,-0.47,-0.07,-0.28,-0.34,0.23,-0.46,-0.21,0.2,0.04,-0.53,0.16,0.52,-0.15,0.38,-0.37,-0.18,0.07,-0.28,-0.07,-0.26,0.27,0.04,0.17,0.24,-0.06,-0.03,0.1,0.41,-0.16,0.29,-0.0,0.38,0.43,0.31,0.1,0.21,-0.31,0.03,0.23,0.12,0.11,0.6,-0.24,0.06,-0.31,-0.0,0.42,-0.02,0.28,1.0,-0.11,0.07,0.24,0.18,0.19,0.06,0.27
advcl,0.2,-0.22,-0.02,-0.4,-0.29,-0.43,0.73,-0.14,-0.03,-0.15,-0.09,-0.18,-0.02,-0.43,-0.03,0.13,0.48,-0.14,-0.21,0.08,0.07,-0.37,0.21,0.18,0.33,0.24,-0.16,0.25,0.08,0.18,-0.38,0.25,0.18,0.43,0.03,-0.29,0.28,-0.13,0.2,0.05,0.0,-0.2,-0.06,-0.36,0.19,0.39,0.31,0.03,-0.29,0.45,-0.07,0.46,-0.14,0.01,-0.13,0.11,-0.19,-0.04,-0.25,0.1,-0.07,0.0,-0.05,0.58,-0.21,0.05,0.43,0.2,-0.21,-0.2,-0.11,1.0,-0.18,-0.39,-0.37,-0.43,-0.16,-0.18
voc,-0.31,0.0,0.55,0.29,0.44,0.22,-0.18,-0.04,0.04,-0.08,-0.07,0.86,0.11,0.19,0.33,-0.11,-0.07,0.46,0.21,0.2,-0.01,0.07,0.16,0.1,0.34,-0.0,0.08,-0.08,0.3,0.53,0.09,-0.04,0.38,0.23,0.31,0.44,-0.08,0.26,0.35,-0.29,0.02,0.74,0.15,0.27,-0.17,-0.21,0.24,-0.03,0.41,-0.13,-0.07,0.2,0.43,0.51,0.64,0.68,0.48,0.17,0.14,0.51,-0.22,0.69,0.45,0.03,0.11,0.13,-0.17,-0.02,0.5,0.1,0.07,-0.18,1.0,0.1,0.41,0.21,0.57,0.86
cop,0.11,0.44,-0.25,0.21,-0.16,0.04,-0.48,-0.05,-0.14,0.55,-0.07,0.14,-0.24,0.14,0.13,0.07,-0.63,0.11,-0.13,-0.03,-0.27,-0.28,-0.1,-0.25,-0.23,-0.07,-0.41,-0.07,0.1,0.22,0.17,-0.27,0.03,-0.0,-0.17,-0.16,0.15,-0.29,-0.31,0.59,0.06,0.1,0.44,0.54,-0.39,-0.01,-0.0,0.28,-0.03,-0.29,-0.1,-0.07,-0.21,-0.01,0.09,-0.01,0.39,-0.32,0.8,0.21,0.3,-0.09,0.32,-0.72,-0.14,-0.2,-0.42,-0.11,-0.02,0.61,0.24,-0.39,0.1,1.0,0.06,0.04,0.42,0.14
conj,0.09,0.08,0.3,0.12,0.37,0.55,-0.1,0.28,0.3,0.02,-0.35,0.48,-0.18,0.26,0.27,0.04,0.34,0.41,-0.05,-0.15,0.22,0.22,-0.1,-0.31,0.04,0.17,0.27,-0.43,0.18,0.2,0.13,-0.29,0.06,0.16,0.15,0.37,-0.39,0.42,0.24,-0.26,-0.2,0.3,-0.06,0.39,0.16,-0.26,0.12,0.13,-0.11,-0.15,-0.44,-0.02,0.15,-0.03,-0.07,0.05,0.39,0.19,0.08,0.18,-0.44,0.25,0.1,-0.35,0.44,-0.05,-0.25,0.11,0.48,0.14,0.18,-0.37,0.41,0.06,1.0,0.56,0.41,0.49
