,noun,adj,propn,adv,intj,cconj,sconj,adp,det,num,punct,symbol,particle,pron,abbr,TTR,avg_word_len,avr_sent_len,hapax_legomena,coref,see_pron,see_det,1st_pron,2nd_pron,3rd_pron,active_voice,passive_voice,1st_prs_verb,2nd_prs_verb,3rd_prs_verb,core_verb,verbtype_ratio,da_inf,gerund,supine,verb_particle,pres_tense,past_tense,ind_mood,cond_mood,imp_mood,quot_mood,neg_polarity,nom_case,gen_case,part_case,ill_case,ine_case,ela_case,alla_case,ade_case,abl_case,tra_case,ter_case,ess_case,abe_case,com_case,nsubj,nsubj_cop,modal,acl:relc,csubj,csubj_cop,obj,ccomp,xcomp,obl,nmod,appos,nummod,amod,advcl,voc,cop,conj,cc
ind_mood,-0.32,-0.38,-0.06,0.21,-0.13,-0.07,0.18,0.09,0.3,-0.2,0.04,-0.06,-0.15,0.34,-0.29,-0.22,-0.25,-0.15,-0.21,0.36,0.17,0.15,0.27,-0.16,0.23,0.35,-0.21,0.37,-0.49,0.57,0.35,0.24,-0.1,-0.17,0.24,-0.25,-0.26,0.39,1.0,-0.22,-0.49,-0.15,0.08,-0.01,-0.06,-0.01,0.06,-0.08,-0.01,0.05,-0.17,-0.22,-0.33,-0.25,-0.2,-0.0,-0.23,0.46,0.17,0.04,0.02,-0.09,-0.13,-0.06,0.01,0.06,-0.1,-0.21,-0.04,-0.25,-0.28,-0.04,-0.15,0.22,-0.25,-0.07
cond_mood,-0.01,0.2,-0.02,0.0,0.36,-0.02,0.11,-0.18,0.05,0.03,-0.08,0.08,0.34,-0.0,-0.14,0.32,0.08,0.13,0.3,-0.05,0.03,0.18,-0.1,0.37,0.05,0.19,-0.07,-0.08,0.16,-0.14,0.22,-0.1,0.29,0.2,0.29,0.03,0.34,-0.28,-0.22,1.0,0.15,0.24,0.15,-0.09,-0.04,0.11,0.42,0.1,0.14,0.0,0.16,0.07,0.23,0.28,0.04,0.18,0.05,0.09,0.1,0.38,0.18,0.22,0.33,-0.18,0.0,0.1,0.2,-0.01,-0.04,-0.01,0.27,0.17,0.34,0.14,-0.12,-0.02
imp_mood,0.02,0.01,-0.15,0.03,0.1,0.22,0.08,-0.05,-0.11,-0.01,0.1,0.02,0.13,-0.15,-0.08,-0.06,-0.09,-0.19,-0.08,-0.11,-0.04,-0.08,-0.04,0.09,-0.06,0.33,-0.01,-0.07,0.99,-0.35,-0.13,0.25,-0.06,0.26,-0.06,-0.07,0.42,-0.17,-0.49,0.15,1.0,0.1,0.07,-0.0,-0.26,-0.05,-0.03,-0.07,-0.08,-0.12,0.09,0.22,0.26,0.5,0.0,0.02,0.2,-0.2,-0.1,-0.04,-0.11,-0.04,0.11,0.3,0.21,0.19,0.13,-0.27,-0.08,0.02,0.0,0.2,0.13,-0.1,0.15,0.22
quot_mood,0.28,0.36,0.45,-0.28,0.75,0.25,-0.14,0.03,-0.16,0.13,-0.1,0.39,0.92,-0.24,0.27,0.42,0.44,0.24,0.57,-0.25,-0.32,0.19,-0.05,0.34,0.06,-0.17,0.2,-0.1,0.06,0.09,-0.23,0.07,-0.02,0.28,0.06,0.19,-0.0,0.0,-0.15,0.24,0.1,1.0,-0.09,0.04,0.28,0.05,0.22,0.35,0.32,0.33,0.41,0.46,0.25,0.57,0.45,0.57,0.28,0.14,0.07,-0.09,0.35,0.36,0.58,-0.14,0.17,0.02,0.35,0.39,0.4,0.27,0.43,-0.01,0.92,0.01,0.14,0.25
neg_polarity,-0.22,-0.05,-0.25,0.2,0.02,-0.14,0.42,0.03,0.2,-0.14,-0.11,0.05,-0.05,0.22,-0.23,0.02,-0.14,0.01,-0.09,0.2,0.14,0.1,0.18,0.09,0.09,0.28,-0.13,0.08,0.07,-0.26,0.29,-0.16,0.09,0.16,0.17,0.01,0.24,-0.13,0.08,0.15,0.07,-0.09,1.0,-0.12,-0.17,0.04,0.15,-0.18,-0.04,0.1,-0.16,-0.16,-0.0,-0.16,-0.17,-0.01,0.05,0.07,0.12,0.52,-0.13,0.05,0.04,-0.12,-0.02,0.18,-0.11,-0.17,-0.06,-0.11,-0.13,0.27,-0.05,0.23,-0.22,-0.14
nom_case,-0.14,-0.0,0.27,-0.15,0.05,-0.1,-0.23,-0.07,-0.0,0.21,0.18,-0.13,0.04,-0.01,0.12,-0.06,-0.15,0.13,0.03,0.04,0.03,0.05,-0.02,-0.0,-0.04,-0.19,0.07,-0.36,-0.01,0.31,0.01,0.1,-0.16,-0.05,-0.06,-0.13,-0.15,0.05,-0.01,-0.09,-0.0,0.04,-0.12,1.0,-0.32,-0.32,-0.17,-0.06,-0.07,-0.22,-0.0,0.15,-0.24,0.02,0.02,0.02,0.05,0.11,0.43,-0.09,0.09,-0.32,0.04,-0.35,-0.13,-0.07,-0.09,-0.14,0.35,0.12,-0.11,-0.19,0.04,0.38,0.21,-0.1
gen_case,0.57,-0.02,0.34,-0.45,0.19,0.09,-0.23,0.27,-0.07,0.03,-0.48,0.21,0.3,-0.12,0.23,0.27,0.55,0.24,0.2,-0.22,-0.15,0.13,-0.03,0.04,-0.04,-0.23,0.14,0.0,-0.29,0.03,-0.34,-0.07,-0.14,-0.12,-0.1,0.26,-0.2,0.13,-0.06,-0.04,-0.26,0.28,-0.17,-0.32,1.0,-0.12,0.09,0.08,0.09,0.3,0.14,0.15,0.02,0.09,0.23,0.05,0.03,0.22,-0.37,-0.08,0.17,0.15,0.06,0.18,0.05,-0.18,0.24,0.84,0.32,0.1,0.08,-0.32,0.3,-0.41,-0.11,0.09
part_case,0.16,0.29,-0.12,-0.08,0.08,0.03,0.25,-0.26,0.16,-0.28,-0.03,-0.06,0.09,-0.07,-0.05,0.1,0.3,-0.06,0.1,-0.09,0.04,0.0,-0.04,0.04,-0.19,-0.02,0.2,0.19,-0.05,-0.22,-0.03,-0.17,0.32,0.18,0.03,0.17,0.14,-0.08,-0.01,0.11,-0.05,0.05,0.04,-0.32,-0.12,1.0,0.1,0.06,-0.08,-0.03,0.04,-0.0,0.24,-0.08,0.04,-0.01,0.04,-0.15,-0.07,0.12,0.11,0.22,0.1,0.37,0.03,-0.04,-0.05,-0.11,-0.01,-0.18,0.28,0.27,0.09,-0.09,-0.01,0.03
ill_case,-0.08,0.09,0.15,0.1,0.35,0.07,0.3,0.06,-0.02,-0.1,-0.27,0.01,0.29,-0.01,0.0,0.25,0.16,0.21,0.25,0.06,-0.15,0.11,0.12,0.34,0.04,0.12,-0.09,0.14,-0.02,-0.11,0.05,-0.01,0.08,0.06,0.65,-0.15,0.09,-0.15,0.06,0.42,-0.03,0.22,0.15,-0.17,0.09,0.1,1.0,0.1,-0.14,0.04,0.11,0.11,0.19,0.11,0.03,0.11,-0.07,0.18,-0.11,0.13,-0.06,0.17,0.26,-0.12,0.1,0.24,0.2,0.07,0.01,-0.08,0.24,0.27,0.29,-0.08,-0.1,0.07
ine_case,0.19,0.24,0.3,-0.27,0.25,0.06,-0.17,-0.07,-0.11,0.04,-0.02,0.33,0.34,-0.22,0.05,0.06,0.28,0.08,0.2,-0.19,-0.18,-0.04,-0.06,0.09,0.05,-0.15,0.22,-0.19,-0.09,0.17,-0.15,-0.0,-0.03,0.04,-0.02,0.21,-0.08,0.09,-0.08,0.1,-0.07,0.35,-0.18,-0.06,0.08,0.06,0.1,1.0,0.26,0.08,0.13,0.27,0.07,0.15,0.08,0.25,-0.02,0.09,0.05,-0.07,0.1,0.18,0.24,-0.15,0.03,-0.07,0.26,0.19,0.02,0.14,0.27,-0.12,0.34,-0.04,0.14,0.06
ela_case,0.12,0.28,0.03,-0.16,0.21,-0.04,-0.21,0.05,-0.05,0.19,-0.12,0.19,0.25,-0.0,-0.15,0.13,0.06,0.03,0.08,-0.06,-0.09,0.05,-0.07,0.08,0.15,-0.01,0.03,-0.04,-0.07,0.06,0.04,-0.05,0.03,0.14,0.09,0.11,0.04,-0.04,-0.01,0.14,-0.08,0.32,-0.04,-0.07,0.09,-0.08,-0.14,0.26,1.0,0.32,0.07,0.17,0.16,0.23,0.1,0.28,-0.09,-0.07,0.08,0.01,0.26,0.08,0.31,-0.11,-0.09,0.04,0.32,0.14,-0.07,0.31,0.3,-0.09,0.25,0.13,-0.16,-0.04
alla_case,0.26,0.19,0.22,-0.34,0.27,0.05,-0.15,0.14,-0.01,0.16,-0.2,0.18,0.35,-0.14,0.13,0.17,0.28,0.24,0.14,-0.18,-0.34,0.11,-0.1,0.12,0.03,-0.14,0.26,-0.04,-0.13,0.03,-0.19,0.14,-0.04,-0.07,0.0,0.19,-0.07,0.1,0.05,0.0,-0.12,0.33,0.1,-0.22,0.3,-0.03,0.04,0.08,0.32,1.0,0.17,0.21,0.22,0.14,0.19,0.08,0.03,0.11,-0.27,-0.11,0.27,0.22,0.22,0.06,-0.01,0.04,0.43,0.29,0.16,0.24,0.22,-0.12,0.35,-0.19,-0.05,0.05
ade_case,0.28,0.19,0.37,-0.36,0.34,0.08,-0.12,-0.07,-0.13,0.13,-0.12,0.08,0.46,-0.14,0.18,0.24,0.37,0.1,0.28,-0.19,-0.27,0.17,-0.11,0.19,0.18,-0.21,0.25,-0.09,0.07,-0.08,-0.31,0.13,-0.15,0.02,0.02,0.09,-0.16,0.14,-0.17,0.16,0.09,0.41,-0.16,-0.0,0.14,0.04,0.11,0.13,0.07,0.17,1.0,0.15,0.19,0.47,0.36,0.29,0.13,-0.06,-0.11,-0.19,0.23,0.16,0.32,-0.06,0.05,0.14,0.55,0.28,0.36,0.15,0.25,-0.13,0.46,-0.19,0.03,0.08
abl_case,0.22,0.22,0.25,-0.31,0.41,0.09,-0.1,0.08,-0.05,0.02,-0.02,0.13,0.49,-0.14,0.12,0.21,0.27,0.26,0.29,-0.16,-0.26,0.02,-0.07,0.2,0.01,-0.05,0.22,-0.14,0.19,0.04,-0.16,-0.02,-0.07,0.26,0.13,0.19,0.04,0.02,-0.22,0.07,0.22,0.46,-0.16,0.15,0.15,-0.0,0.11,0.27,0.17,0.21,0.15,1.0,0.07,0.34,0.23,0.21,0.06,0.07,-0.17,0.01,0.41,0.14,0.46,0.25,0.04,0.02,0.22,0.19,0.29,0.05,0.22,0.03,0.49,-0.15,0.06,0.1
tra_case,0.17,0.32,0.13,-0.14,0.12,-0.01,0.0,-0.12,0.01,-0.01,-0.16,0.04,0.24,-0.19,0.1,0.16,0.25,0.01,0.09,-0.2,-0.11,0.15,-0.11,-0.01,0.03,-0.09,0.21,0.07,0.24,-0.38,-0.17,-0.08,0.08,0.09,-0.03,0.12,0.1,-0.07,-0.33,0.23,0.26,0.25,-0.0,-0.24,0.02,0.24,0.19,0.07,0.16,0.22,0.19,0.07,1.0,0.25,0.16,0.0,0.09,-0.23,-0.12,-0.06,0.05,0.14,0.17,0.14,-0.04,0.29,0.32,0.06,-0.06,0.09,0.37,0.06,0.24,-0.14,0.0,-0.01
ter_case,0.24,0.22,0.21,-0.24,0.5,0.23,-0.13,-0.04,-0.15,0.13,-0.0,0.23,0.62,-0.23,0.1,0.21,0.24,0.03,0.31,-0.24,-0.26,0.09,-0.07,0.24,0.07,0.08,0.13,0.01,0.48,-0.13,-0.18,0.2,-0.01,0.18,0.08,0.05,0.12,0.01,-0.25,0.28,0.5,0.57,-0.16,0.02,0.09,-0.08,0.11,0.15,0.23,0.14,0.47,0.34,0.25,1.0,0.2,0.42,0.2,-0.07,-0.02,-0.18,0.18,0.22,0.39,0.07,0.16,0.16,0.39,0.17,0.18,0.18,0.26,-0.0,0.62,-0.07,0.16,0.23
ess_case,0.27,0.29,0.23,-0.26,0.31,0.08,-0.17,0.07,-0.14,0.1,-0.09,0.14,0.46,-0.06,0.26,0.29,0.32,0.09,0.26,-0.13,-0.08,0.08,-0.02,0.12,0.04,-0.21,0.13,-0.12,-0.02,0.03,-0.13,0.05,-0.04,0.1,-0.07,0.19,-0.08,0.03,-0.2,0.04,0.0,0.45,-0.17,0.02,0.23,0.04,0.03,0.08,0.1,0.19,0.36,0.23,0.16,0.2,1.0,0.17,0.15,-0.07,0.01,-0.13,0.19,0.2,0.44,0.0,-0.0,-0.09,0.31,0.27,0.33,0.2,0.26,0.01,0.46,0.0,-0.0,0.08
abe_case,0.06,0.27,0.18,-0.12,0.49,0.15,-0.0,0.01,-0.17,0.08,-0.05,0.22,0.6,-0.01,0.14,0.24,0.15,0.06,0.32,-0.05,-0.13,0.02,0.09,0.27,0.14,-0.03,0.09,-0.02,0.0,0.1,0.06,-0.08,0.24,0.39,0.28,0.08,0.04,-0.04,-0.0,0.18,0.02,0.57,-0.01,0.02,0.05,-0.01,0.11,0.25,0.28,0.08,0.29,0.21,0.0,0.42,0.17,1.0,0.12,0.06,0.18,0.03,0.23,0.33,0.38,-0.22,0.1,0.04,0.23,0.16,0.16,0.1,0.25,0.26,0.6,0.14,0.1,0.15
com_case,0.13,0.13,0.1,-0.0,0.27,0.07,0.04,-0.0,0.01,0.08,-0.16,0.15,0.32,-0.04,0.18,0.3,0.23,0.05,0.26,-0.06,-0.03,0.06,0.06,0.01,0.0,-0.11,0.08,-0.02,0.17,-0.06,-0.19,0.04,-0.01,0.12,-0.21,0.11,0.0,0.01,-0.23,0.05,0.2,0.28,0.05,0.05,0.03,0.04,-0.07,-0.02,-0.09,0.03,0.13,0.06,0.09,0.2,0.15,0.12,1.0,-0.04,-0.0,-0.08,0.09,0.0,0.24,-0.02,0.07,0.05,0.1,0.16,0.23,0.15,0.05,-0.05,0.32,-0.0,0.01,0.07
nsubj,-0.1,-0.26,0.25,0.01,0.18,-0.11,0.12,0.17,0.06,-0.15,-0.23,0.1,0.15,0.23,-0.01,0.08,0.08,0.06,0.06,0.23,0.01,0.13,0.21,0.05,0.24,0.29,-0.33,-0.17,-0.21,0.65,-0.01,0.14,-0.07,-0.0,0.16,-0.14,-0.13,0.2,0.46,0.09,-0.2,0.14,0.07,0.11,0.22,-0.15,0.18,0.09,-0.07,0.11,-0.06,0.07,-0.23,-0.07,-0.07,0.06,-0.04,1.0,-0.19,0.13,0.23,-0.04,-0.01,-0.17,-0.06,0.04,0.11,0.14,0.24,-0.21,-0.09,0.01,0.15,-0.2,-0.29,-0.11
nsubj_cop,-0.25,0.06,-0.13,0.14,0.05,0.0,0.06,-0.13,0.17,0.01,0.25,-0.05,0.03,0.19,-0.07,-0.13,-0.29,-0.1,-0.03,0.21,0.39,0.08,0.11,0.01,-0.0,0.04,-0.11,-0.07,-0.1,0.18,0.41,-0.01,0.05,0.06,0.04,-0.12,0.17,-0.2,0.17,0.1,-0.1,0.07,0.12,0.43,-0.37,-0.07,-0.11,0.05,0.08,-0.27,-0.11,-0.17,-0.12,-0.02,0.01,0.18,-0.0,-0.19,1.0,0.08,0.06,-0.11,0.08,-0.48,0.03,-0.09,-0.27,-0.29,-0.05,0.07,-0.14,-0.0,0.03,0.88,0.09,-0.0
modal,-0.11,0.08,-0.36,0.2,0.06,-0.26,0.35,0.06,0.24,-0.22,-0.17,0.12,-0.02,0.25,-0.27,0.14,-0.07,0.09,-0.02,0.19,0.29,0.15,0.16,0.16,0.02,0.42,-0.09,-0.02,-0.03,-0.04,0.55,-0.4,0.14,0.19,0.21,0.31,0.24,-0.02,0.04,0.38,-0.04,-0.09,0.52,-0.09,-0.08,0.12,0.13,-0.07,0.01,-0.11,-0.19,0.01,-0.06,-0.18,-0.13,0.03,-0.08,0.13,0.08,1.0,-0.0,0.11,0.15,-0.07,-0.19,-0.02,-0.23,-0.09,-0.12,-0.21,0.08,0.26,-0.02,0.14,-0.27,-0.26
acl:relc,0.06,0.19,0.27,-0.25,0.35,0.07,-0.17,-0.07,0.12,-0.09,-0.05,0.07,0.4,0.17,0.08,0.26,0.24,0.32,0.29,0.05,-0.07,0.24,-0.07,0.11,0.06,-0.03,0.15,-0.16,-0.12,0.21,-0.01,-0.06,0.09,0.09,-0.02,0.25,0.0,0.06,0.02,0.18,-0.11,0.35,-0.13,0.09,0.17,0.11,-0.06,0.1,0.26,0.27,0.23,0.41,0.05,0.18,0.19,0.23,0.09,0.23,0.06,-0.0,1.0,0.13,0.26,0.03,0.01,0.07,0.21,0.15,0.3,-0.06,0.1,-0.1,0.4,0.1,-0.11,0.07
csubj,0.12,0.21,0.1,-0.09,0.31,0.25,0.02,0.27,-0.18,-0.06,-0.14,0.15,0.42,-0.19,0.0,0.25,0.22,0.15,0.35,-0.21,-0.15,0.04,-0.01,0.04,-0.14,-0.05,0.08,-0.04,-0.06,0.01,0.14,-0.12,0.37,0.37,0.09,0.18,0.03,-0.03,-0.09,0.22,-0.04,0.36,0.05,-0.32,0.15,0.22,0.17,0.18,0.08,0.22,0.16,0.14,0.14,0.22,0.2,0.33,0.0,-0.04,-0.11,0.11,0.13,1.0,0.32,-0.06,0.21,-0.08,0.19,0.13,-0.01,-0.01,0.21,0.19,0.42,-0.04,0.13,0.25
csubj_cop,0.16,0.29,0.15,-0.12,0.58,0.18,-0.03,0.01,0.04,0.04,-0.13,0.24,0.68,-0.06,0.04,0.43,0.29,0.05,0.52,-0.12,-0.28,0.1,0.06,0.41,0.06,-0.03,0.06,-0.04,0.12,-0.01,0.08,-0.1,0.15,0.34,0.15,0.13,0.03,-0.01,-0.13,0.33,0.11,0.58,0.04,0.04,0.06,0.1,0.26,0.24,0.31,0.22,0.32,0.46,0.17,0.39,0.44,0.38,0.24,-0.01,0.08,0.15,0.26,0.32,1.0,-0.06,0.16,0.04,0.23,0.21,0.23,0.1,0.27,0.11,0.68,0.14,-0.0,0.18
obj,0.24,0.02,-0.1,-0.09,-0.06,0.09,0.05,-0.17,0.09,-0.3,-0.13,-0.1,-0.08,-0.07,-0.0,-0.04,0.2,-0.03,-0.13,-0.1,-0.02,-0.01,-0.05,-0.04,-0.13,0.16,0.27,0.25,0.3,-0.27,-0.2,0.02,0.02,0.01,-0.06,0.2,0.12,0.12,-0.06,-0.18,0.3,-0.14,-0.12,-0.35,0.18,0.37,-0.12,-0.15,-0.11,0.06,-0.06,0.25,0.14,0.07,0.0,-0.22,-0.02,-0.17,-0.48,-0.07,0.03,-0.06,-0.06,1.0,0.08,0.12,-0.03,0.04,0.01,-0.25,0.02,-0.01,-0.08,-0.44,-0.06,0.09
ccomp,0.1,0.03,-0.03,-0.09,0.27,0.95,0.03,-0.18,-0.17,-0.19,-0.08,0.03,0.22,-0.12,-0.01,-0.13,0.1,-0.1,0.07,-0.1,-0.07,-0.14,-0.04,0.13,-0.13,0.08,0.03,-0.05,0.2,0.09,-0.12,0.08,0.13,0.16,0.16,-0.08,0.19,-0.15,0.01,0.0,0.21,0.17,-0.02,-0.13,0.05,0.03,0.1,0.03,-0.09,-0.01,0.05,0.04,-0.04,0.16,-0.0,0.1,0.07,-0.06,0.03,-0.19,0.01,0.21,0.16,0.08,1.0,0.15,-0.2,-0.0,0.03,-0.17,-0.08,0.03,0.22,0.05,0.53,0.95
xcomp,-0.32,0.02,0.1,0.13,0.1,0.12,0.06,-0.23,0.02,-0.16,-0.21,-0.12,0.02,0.31,0.04,-0.03,-0.09,0.01,-0.08,0.36,-0.01,0.07,0.19,0.08,0.46,0.24,-0.05,0.15,0.2,-0.17,0.16,-0.03,0.21,0.07,0.42,-0.12,0.02,0.07,0.06,0.1,0.19,0.02,0.18,-0.07,-0.18,-0.04,0.24,-0.07,0.04,0.04,0.14,0.02,0.29,0.16,-0.09,0.04,0.05,0.04,-0.09,-0.02,0.07,-0.08,0.04,0.12,0.15,1.0,0.08,-0.11,0.02,-0.19,0.03,0.0,0.02,-0.03,-0.04,0.12
obl,0.17,0.18,0.42,-0.42,0.27,-0.15,-0.16,0.25,-0.12,0.24,-0.2,0.08,0.4,-0.13,-0.06,0.31,0.26,0.13,0.21,-0.16,-0.31,0.15,-0.06,0.01,0.26,-0.11,0.2,-0.06,0.1,-0.06,-0.31,0.27,-0.13,0.08,0.03,0.04,-0.27,0.3,-0.1,0.2,0.13,0.35,-0.11,-0.09,0.24,-0.05,0.2,0.26,0.32,0.43,0.55,0.22,0.32,0.39,0.31,0.23,0.1,0.11,-0.27,-0.23,0.21,0.19,0.23,-0.03,-0.2,0.08,1.0,0.15,0.19,0.27,0.32,-0.11,0.4,-0.26,-0.25,-0.15
nmod,0.65,0.02,0.45,-0.45,0.27,0.04,-0.26,0.1,-0.17,0.07,-0.51,0.25,0.39,-0.17,0.48,0.27,0.65,0.27,0.26,-0.28,-0.18,0.07,-0.11,0.16,-0.02,-0.43,0.23,-0.19,-0.29,0.04,-0.37,-0.17,-0.05,-0.09,-0.12,0.24,-0.18,-0.0,-0.21,-0.01,-0.27,0.39,-0.17,-0.14,0.84,-0.11,0.07,0.19,0.14,0.29,0.28,0.19,0.06,0.17,0.27,0.16,0.16,0.14,-0.29,-0.09,0.15,0.13,0.21,0.04,-0.0,-0.11,0.15,1.0,0.41,0.17,0.1,-0.32,0.39,-0.33,-0.0,0.04
appos,0.2,-0.07,0.66,-0.38,0.35,0.04,-0.14,-0.06,-0.11,0.01,-0.22,0.11,0.42,-0.09,0.35,0.3,0.33,0.18,0.34,-0.15,-0.11,0.13,-0.18,0.21,0.04,-0.24,0.14,-0.17,-0.1,0.16,-0.27,0.02,-0.08,0.01,-0.03,0.07,-0.31,0.23,-0.04,-0.04,-0.08,0.4,-0.06,0.35,0.32,-0.01,0.01,0.02,-0.07,0.16,0.36,0.29,-0.06,0.18,0.33,0.16,0.23,0.24,-0.05,-0.12,0.3,-0.01,0.23,0.01,0.03,0.02,0.19,0.41,1.0,0.06,0.0,-0.19,0.42,-0.13,-0.06,0.04
nummod,0.12,0.12,0.25,-0.3,0.07,-0.1,-0.33,0.05,-0.22,0.86,-0.03,0.34,0.21,-0.34,0.4,0.01,-0.05,0.09,0.07,-0.3,-0.26,-0.05,-0.2,0.04,-0.12,-0.34,0.01,-0.13,-0.0,-0.08,-0.29,0.32,-0.29,-0.1,-0.14,-0.09,-0.25,0.05,-0.25,-0.01,0.02,0.27,-0.11,0.12,0.1,-0.18,-0.08,0.14,0.31,0.24,0.15,0.05,0.09,0.18,0.2,0.1,0.15,-0.21,0.07,-0.21,-0.06,-0.01,0.1,-0.25,-0.17,-0.19,0.27,0.17,0.06,1.0,0.28,-0.29,0.21,-0.0,0.02,-0.1
amod,0.2,0.76,0.1,-0.23,0.34,0.01,-0.06,-0.1,-0.16,0.12,-0.16,0.13,0.42,-0.28,0.17,0.29,0.29,0.32,0.26,-0.3,-0.28,0.06,-0.14,0.13,-0.13,-0.23,0.25,-0.02,-0.02,-0.16,-0.12,-0.11,0.12,0.18,0.1,0.19,-0.05,-0.01,-0.28,0.27,0.0,0.43,-0.13,-0.11,0.08,0.28,0.24,0.27,0.3,0.22,0.25,0.22,0.37,0.26,0.26,0.25,0.05,-0.09,-0.14,0.08,0.1,0.21,0.27,0.02,-0.08,0.03,0.32,0.1,0.0,0.28,1.0,0.12,0.42,-0.19,0.02,0.0
advcl,-0.11,0.11,-0.41,0.34,0.13,-0.01,0.64,0.12,0.02,-0.3,-0.03,-0.0,0.07,0.08,-0.22,0.12,-0.06,-0.09,0.0,0.07,0.1,-0.03,0.15,0.17,-0.08,0.22,-0.12,0.09,0.23,-0.13,0.28,-0.25,0.36,0.58,0.23,-0.05,0.39,-0.32,-0.04,0.17,0.2,-0.01,0.27,-0.19,-0.32,0.27,0.27,-0.12,-0.09,-0.12,-0.13,0.03,0.06,-0.0,0.01,0.26,-0.05,0.01,-0.0,0.26,-0.1,0.19,0.11,-0.01,0.03,0.0,-0.11,-0.32,-0.19,-0.29,0.12,1.0,0.07,0.07,-0.15,-0.01
voc,0.36,0.38,0.38,-0.34,0.84,0.29,-0.06,0.1,-0.09,0.1,-0.16,0.43,1.0,-0.25,0.25,0.46,0.48,0.27,0.6,-0.29,-0.36,0.2,-0.01,0.41,0.01,-0.14,0.25,-0.06,0.09,0.07,-0.18,0.03,0.06,0.35,0.14,0.22,0.03,0.0,-0.15,0.34,0.13,0.92,-0.05,0.04,0.3,0.09,0.29,0.34,0.25,0.35,0.46,0.49,0.24,0.62,0.46,0.6,0.32,0.15,0.03,-0.02,0.4,0.42,0.68,-0.08,0.22,0.02,0.4,0.39,0.42,0.21,0.42,0.07,1.0,-0.0,0.17,0.29
cop,-0.3,0.04,-0.23,0.17,0.04,0.01,0.09,-0.06,0.17,-0.01,0.21,-0.06,-0.0,0.27,-0.19,-0.17,-0.33,-0.05,-0.1,0.27,0.39,0.02,0.1,0.06,0.04,0.13,-0.08,-0.06,-0.09,0.17,0.56,-0.06,0.17,0.11,0.11,-0.07,0.23,-0.2,0.22,0.14,-0.1,0.01,0.23,0.38,-0.41,-0.09,-0.08,-0.04,0.13,-0.19,-0.19,-0.15,-0.14,-0.07,0.0,0.14,-0.0,-0.2,0.88,0.14,0.1,-0.04,0.14,-0.44,0.05,-0.03,-0.26,-0.33,-0.13,-0.0,-0.19,0.07,-0.0,1.0,0.05,0.01
conj,0.27,0.2,-0.03,-0.29,0.15,0.62,-0.32,-0.09,-0.23,0.02,0.34,0.07,0.17,-0.35,0.17,-0.29,0.1,0.2,0.03,-0.28,-0.19,-0.2,-0.14,0.02,-0.23,-0.25,0.33,-0.11,0.13,-0.06,-0.19,-0.02,-0.01,0.04,0.0,0.09,0.14,-0.2,-0.25,-0.12,0.15,0.14,-0.22,0.21,-0.11,-0.01,-0.1,0.14,-0.16,-0.05,0.03,0.06,0.0,0.16,-0.0,0.1,0.01,-0.29,0.09,-0.27,-0.11,0.13,-0.0,-0.06,0.53,-0.04,-0.25,-0.0,-0.06,0.02,0.02,-0.15,0.17,0.05,1.0,0.62
cc,0.18,0.12,0.01,-0.15,0.3,1.0,-0.17,-0.12,-0.22,-0.13,-0.07,0.08,0.29,-0.22,0.06,-0.11,0.18,-0.1,0.09,-0.19,-0.15,-0.16,-0.11,0.13,-0.18,-0.02,0.1,-0.09,0.21,0.08,-0.18,0.09,0.13,0.19,0.13,-0.04,0.21,-0.19,-0.07,-0.02,0.22,0.25,-0.14,-0.1,0.09,0.03,0.07,0.06,-0.04,0.05,0.08,0.1,-0.01,0.23,0.08,0.15,0.07,-0.11,-0.0,-0.26,0.07,0.25,0.18,0.09,0.95,0.12,-0.15,0.04,0.04,-0.1,0.0,-0.01,0.29,0.01,0.62,1.0
