,noun,adj,propn,adv,intj,cconj,sconj,adp,det,num,punct,symbol,pron,abbr,TTR,avg_word_len,avr_sent_len,hapax_legomena,coref,see_pron,see_det,1st_pron,2nd_pron,3rd_pron,active_voice,passive_voice,1st_prs_verb,2nd_prs_verb,3rd_prs_verb,core_verb,verbtype_ratio,da_inf,gerund,supine,verb_particle,discourse,pres_tense,past_tense,ind_mood,cond_mood,imp_mood,quot_mood,neg_polarity,nom_case,gen_case,part_case,ill_case,ine_case,ela_case,alla_case,ade_case,abl_case,tra_case,ter_case,ess_case,abe_case,com_case,nsubj,nsubj_cop,modal,acl:relc,csubj,csubj_cop,obj,ccomp,xcomp,obl,nmod,appos,nummod,amod,advcl,voc,cop,conj,cc,yneemid,emoticons
past_tense,-0.51,-0.23,-0.06,0.7,0.79,-0.55,0.97,0.91,0.67,-0.17,0.09,0.65,0.86,-0.36,-0.55,-0.58,0.73,-0.53,0.79,0.58,0.75,0.79,0.79,0.96,0.96,0.56,0.79,0.79,0.36,0.99,0.45,-0.21,0.79,0.46,0.23,0.79,-0.26,1.0,0.64,0.65,-0.25,0.79,0.65,-0.32,-0.72,-0.6,-0.77,0.66,0.76,0.87,-0.11,0.62,0.28,0.79,-0.3,0.87,-0.98,-0.03,0.5,0.53,0.67,0.79,0.65,-0.47,-0.55,-0.28,0.63,-0.89,-0.79,-0.48,-0.4,0.72,0.79,0.79,-0.67,-0.55,0.79,0.79
ind_mood,-0.89,-0.89,0.58,0.37,0.03,0.06,0.81,0.79,0.99,-0.74,-0.06,-0.16,0.77,0.49,0.07,-0.91,0.18,0.17,0.96,0.9,0.98,0.03,0.03,0.44,0.48,-0.28,0.03,0.03,0.92,0.74,0.97,-0.65,0.03,0.48,-0.6,0.03,-0.91,0.64,1.0,-0.16,-0.42,0.03,-0.16,0.48,-0.59,-0.96,-0.1,0.19,0.03,0.93,-0.12,-0.18,0.51,0.03,-0.45,0.91,-0.5,0.72,0.96,-0.31,0.38,0.03,-0.16,-0.94,0.06,0.53,-0.17,-0.74,-0.11,-0.87,0.45,0.76,0.03,0.96,-0.22,0.06,0.04,0.04
cond_mood,0.13,0.55,-0.51,0.66,0.94,-0.87,0.44,0.45,-0.08,0.4,-0.02,1.0,0.27,-0.9,-0.63,0.22,0.64,-0.73,0.04,-0.04,-0.02,0.94,0.94,0.82,0.71,0.98,0.94,0.94,-0.38,0.53,-0.37,0.49,0.94,-0.05,0.86,0.94,0.55,0.65,-0.16,1.0,0.27,0.94,1.0,-0.8,-0.47,0.21,-0.8,0.78,0.98,0.19,-0.22,1.0,0.02,0.94,-0.12,0.19,-0.77,-0.66,-0.34,0.99,0.34,0.94,1.0,0.37,-0.87,-0.82,1.0,-0.49,-0.95,0.13,-0.94,0.07,0.94,0.05,-0.77,-0.87,0.94,0.94
imp_mood,-0.02,0.31,0.28,0.51,-0.08,-0.64,-0.34,-0.03,-0.3,-0.16,-0.86,0.27,-0.69,-0.15,0.52,0.76,-0.57,0.38,-0.55,0.02,-0.53,-0.08,-0.08,-0.01,-0.37,0.16,-0.08,-0.08,-0.17,-0.32,-0.46,0.93,-0.08,-0.97,0.25,-0.08,0.44,-0.25,-0.42,0.27,1.0,-0.08,0.27,0.07,-0.37,0.67,0.36,0.57,0.26,-0.41,-0.85,0.32,0.56,-0.08,-0.62,-0.51,0.14,-0.05,-0.63,0.29,-0.81,-0.08,0.27,0.68,-0.64,-0.03,0.32,-0.07,-0.29,-0.08,-0.24,-0.83,-0.08,-0.53,-0.56,-0.64,-0.08,-0.08
quot_mood,0.09,0.42,-0.59,0.54,1.0,-0.69,0.62,0.52,0.07,0.43,0.26,0.94,0.55,-0.86,-0.83,-0.07,0.86,-0.87,0.28,-0.0,0.21,1.0,1.0,0.88,0.89,0.94,1.0,1.0,-0.29,0.7,-0.18,0.16,1.0,0.3,0.77,1.0,0.38,0.79,0.03,0.94,-0.08,1.0,0.94,-0.82,-0.4,-0.06,-0.95,0.63,0.93,0.39,0.04,0.92,-0.13,1.0,0.06,0.42,-0.87,-0.63,-0.09,0.91,0.64,1.0,0.94,0.1,-0.69,-0.81,0.92,-0.53,-0.9,0.11,-0.87,0.39,1.0,0.28,-0.62,-0.69,1.0,1.0
neg_polarity,0.13,0.55,-0.51,0.66,0.94,-0.87,0.44,0.45,-0.08,0.4,-0.02,1.0,0.27,-0.9,-0.63,0.22,0.64,-0.73,0.04,-0.04,-0.02,0.94,0.94,0.82,0.71,0.98,0.94,0.94,-0.38,0.53,-0.37,0.49,0.94,-0.05,0.86,0.94,0.55,0.65,-0.16,1.0,0.27,0.94,1.0,-0.8,-0.47,0.21,-0.8,0.78,0.98,0.19,-0.22,1.0,0.02,0.94,-0.12,0.19,-0.77,-0.66,-0.34,0.99,0.34,0.94,1.0,0.37,-0.87,-0.82,1.0,-0.49,-0.95,0.13,-0.94,0.07,0.94,0.05,-0.77,-0.87,0.94,0.94
nom_case,-0.64,-0.82,0.93,-0.07,-0.82,0.43,-0.1,0.06,0.48,-0.86,-0.48,-0.8,-0.16,0.97,0.87,-0.31,-0.75,0.93,0.22,0.57,0.29,-0.82,-0.82,-0.45,-0.53,-0.91,-0.82,-0.82,0.77,-0.2,0.63,-0.29,-0.82,-0.21,-0.95,-0.82,-0.76,-0.32,0.48,-0.8,0.07,-0.82,-0.8,1.0,-0.14,-0.37,0.83,-0.25,-0.68,0.15,-0.34,-0.78,0.58,-0.82,-0.5,0.09,0.44,0.96,0.5,-0.86,-0.51,-0.82,-0.8,-0.49,0.43,1.0,-0.78,-0.05,0.59,-0.65,0.93,-0.07,-0.82,0.23,0.22,0.43,-0.82,-0.82
gen_case,0.79,0.39,-0.49,-0.96,-0.4,0.74,-0.73,-0.91,-0.69,0.62,0.62,-0.47,-0.39,0.04,-0.13,0.26,-0.08,-0.09,-0.55,-0.83,-0.55,-0.4,-0.4,-0.76,-0.52,-0.27,-0.4,-0.4,-0.58,-0.72,-0.45,-0.22,-0.4,0.21,0.02,-0.4,0.32,-0.72,-0.59,-0.47,-0.37,-0.4,-0.47,-0.14,1.0,0.36,0.21,-0.89,-0.63,-0.69,0.76,-0.48,-0.85,-0.4,0.87,-0.6,0.72,-0.35,-0.33,-0.33,0.02,-0.4,-0.47,0.27,0.74,-0.12,-0.49,0.95,0.71,0.8,0.15,-0.2,-0.4,-0.57,0.9,0.74,-0.39,-0.39
part_case,0.72,0.83,-0.38,-0.14,-0.06,-0.25,-0.77,-0.66,-0.91,0.55,-0.24,0.21,-0.85,-0.44,0.11,0.99,-0.34,-0.01,-0.96,-0.73,-0.97,-0.06,-0.06,-0.37,-0.51,0.28,-0.06,-0.06,-0.81,-0.71,-0.95,0.83,-0.06,-0.71,0.57,-0.06,0.88,-0.6,-0.96,0.21,0.67,-0.06,0.21,-0.37,0.36,1.0,0.2,0.03,0.06,-0.9,-0.18,0.25,-0.24,-0.06,0.17,-0.92,0.46,-0.6,-0.99,0.35,-0.58,-0.06,0.21,0.99,-0.25,-0.44,0.24,0.58,-0.0,0.68,-0.44,-0.89,-0.06,-0.96,0.0,-0.25,-0.06,-0.06
ill_case,-0.15,-0.36,0.69,-0.31,-0.95,0.44,-0.62,-0.43,-0.09,-0.5,-0.52,-0.8,-0.68,0.78,0.94,0.24,-0.97,0.95,-0.37,0.07,-0.29,-0.95,-0.95,-0.79,-0.91,-0.85,-0.95,-0.95,0.28,-0.7,0.09,0.1,-0.95,-0.56,-0.68,-0.95,-0.27,-0.77,-0.1,-0.8,0.36,-0.95,-0.8,0.83,0.21,0.2,1.0,-0.39,-0.78,-0.43,-0.32,-0.76,0.34,-0.95,-0.29,-0.49,0.82,0.63,-0.05,-0.78,-0.83,-0.95,-0.8,0.06,0.44,0.79,-0.77,0.42,0.74,-0.19,0.76,-0.57,-0.95,-0.36,0.38,0.44,-0.96,-0.96
ine_case,-0.42,0.08,0.13,0.98,0.63,-0.97,0.55,0.73,0.31,-0.23,-0.58,0.78,0.19,-0.46,-0.09,0.12,0.2,-0.18,0.22,0.48,0.2,0.63,0.63,0.81,0.54,0.63,0.63,0.63,0.14,0.59,-0.0,0.56,0.63,-0.36,0.42,0.63,0.15,0.66,0.19,0.78,0.57,0.63,0.78,-0.25,-0.89,0.03,-0.39,1.0,0.86,0.4,-0.74,0.8,0.64,0.63,-0.71,0.33,-0.74,-0.1,-0.1,0.7,-0.04,0.63,0.78,0.15,-0.97,-0.3,0.81,-0.79,-0.91,-0.44,-0.56,-0.04,0.63,0.24,-1.0,-0.97,0.63,0.63
ela_case,-0.07,0.38,-0.36,0.78,0.93,-0.9,0.58,0.61,0.11,0.22,-0.11,0.98,0.37,-0.8,-0.57,0.09,0.62,-0.65,0.2,0.15,0.14,0.93,0.93,0.91,0.78,0.92,0.93,0.93,-0.19,0.66,-0.2,0.43,0.93,-0.03,0.74,0.93,0.39,0.76,0.03,0.98,0.26,0.93,0.98,-0.68,-0.63,0.06,-0.78,0.86,1.0,0.36,-0.32,0.98,0.18,0.93,-0.27,0.34,-0.86,-0.51,-0.18,0.94,0.35,0.93,0.98,0.22,-0.9,-0.7,0.98,-0.65,-0.99,-0.07,-0.86,0.16,0.93,0.21,-0.85,-0.9,0.93,0.93
alla_case,-0.79,-0.67,0.32,0.54,0.39,-0.19,0.96,0.92,0.94,-0.54,0.04,0.19,0.9,0.14,-0.22,-0.86,0.47,-0.15,0.98,0.83,0.97,0.39,0.39,0.72,0.75,0.08,0.39,0.39,0.75,0.93,0.83,-0.53,0.39,0.54,-0.28,0.39,-0.7,0.87,0.93,0.19,-0.41,0.39,0.19,0.15,-0.69,-0.9,-0.43,0.4,0.36,1.0,-0.1,0.16,0.43,0.39,-0.4,0.99,-0.77,0.44,0.85,0.04,0.58,0.39,0.19,-0.83,-0.19,0.2,0.18,-0.87,-0.42,-0.76,0.1,0.84,0.39,0.99,-0.43,-0.19,0.39,0.39
ade_case,0.54,0.17,-0.63,-0.78,0.04,0.68,-0.11,-0.43,-0.24,0.6,0.98,-0.22,0.3,-0.1,-0.6,-0.3,0.5,-0.5,0.04,-0.54,0.01,0.04,0.04,-0.26,0.11,-0.03,0.04,0.04,-0.34,-0.09,-0.06,-0.65,0.04,0.78,0.06,0.04,0.04,-0.11,-0.12,-0.22,-0.85,0.04,-0.22,-0.34,0.76,-0.18,-0.32,-0.74,-0.32,-0.1,1.0,-0.26,-0.91,0.04,0.94,0.02,0.16,-0.35,0.14,-0.16,0.66,0.04,-0.22,-0.2,0.68,-0.27,-0.27,0.51,0.4,0.59,0.02,0.46,0.04,0.02,0.75,0.68,0.05,0.05
abl_case,0.13,0.57,-0.49,0.67,0.92,-0.89,0.41,0.43,-0.11,0.39,-0.07,1.0,0.22,-0.9,-0.59,0.27,0.6,-0.7,0.0,-0.05,-0.06,0.92,0.92,0.8,0.68,0.97,0.92,0.92,-0.39,0.5,-0.4,0.54,0.92,-0.11,0.86,0.92,0.57,0.62,-0.18,1.0,0.32,0.92,1.0,-0.78,-0.48,0.25,-0.76,0.8,0.98,0.16,-0.26,1.0,0.05,0.92,-0.15,0.15,-0.75,-0.66,-0.38,0.99,0.29,0.92,1.0,0.4,-0.89,-0.81,1.0,-0.48,-0.95,0.13,-0.94,0.01,0.92,0.01,-0.78,-0.89,0.91,0.91
tra_case,-0.84,-0.56,0.84,0.76,-0.13,-0.48,0.36,0.64,0.61,-0.87,-0.88,0.02,0.0,0.38,0.63,-0.11,-0.45,0.6,0.33,0.83,0.37,-0.13,-0.13,0.31,0.01,-0.2,-0.13,-0.13,0.71,0.31,0.47,0.27,-0.13,-0.5,-0.39,-0.13,-0.45,0.28,0.51,0.02,0.56,-0.13,0.02,0.58,-0.85,-0.24,0.34,0.64,0.18,0.43,-0.91,0.05,1.0,-0.13,-0.99,0.31,-0.24,0.67,0.29,-0.1,-0.47,-0.13,0.02,-0.23,-0.48,0.54,0.06,-0.68,-0.29,-0.87,0.26,-0.12,-0.13,0.35,-0.66,-0.48,-0.14,-0.14
ter_case,0.09,0.42,-0.59,0.54,1.0,-0.69,0.62,0.52,0.07,0.43,0.26,0.94,0.55,-0.86,-0.83,-0.07,0.86,-0.87,0.28,-0.0,0.21,1.0,1.0,0.88,0.89,0.94,1.0,1.0,-0.29,0.7,-0.18,0.16,1.0,0.3,0.77,1.0,0.38,0.79,0.03,0.94,-0.08,1.0,0.94,-0.82,-0.4,-0.06,-0.95,0.63,0.93,0.39,0.04,0.92,-0.13,1.0,0.06,0.42,-0.87,-0.63,-0.09,0.91,0.64,1.0,0.94,0.1,-0.69,-0.81,0.92,-0.53,-0.9,0.11,-0.87,0.39,1.0,0.28,-0.62,-0.69,1.0,1.0
ess_case,0.8,0.47,-0.78,-0.81,0.06,0.57,-0.36,-0.65,-0.56,0.81,0.9,-0.12,0.02,-0.28,-0.59,0.04,0.41,-0.54,-0.29,-0.8,-0.32,0.06,0.06,-0.36,-0.04,0.1,0.06,0.06,-0.64,-0.32,-0.4,-0.35,0.06,0.54,0.29,0.06,0.36,-0.3,-0.45,-0.12,-0.62,0.06,-0.12,-0.5,0.87,0.17,-0.29,-0.71,-0.27,-0.4,0.94,-0.15,-0.99,0.06,1.0,-0.28,0.29,-0.58,-0.21,-0.01,0.47,0.06,-0.12,0.15,0.57,-0.45,-0.16,0.7,0.37,0.83,-0.16,0.16,0.06,-0.31,0.73,0.57,0.06,0.06
abe_case,-0.72,-0.63,0.23,0.45,0.42,-0.13,0.96,0.87,0.9,-0.45,0.16,0.19,0.95,0.11,-0.32,-0.89,0.55,-0.24,0.99,0.76,0.97,0.42,0.42,0.71,0.79,0.1,0.42,0.42,0.69,0.93,0.82,-0.6,0.42,0.64,-0.25,0.42,-0.68,0.87,0.91,0.19,-0.51,0.42,0.19,0.09,-0.6,-0.92,-0.49,0.33,0.34,0.99,0.02,0.15,0.31,0.42,-0.28,1.0,-0.77,0.37,0.86,0.05,0.67,0.42,0.19,-0.84,-0.13,0.15,0.17,-0.82,-0.4,-0.68,0.08,0.9,0.42,0.99,-0.35,-0.13,0.42,0.42
com_case,0.4,0.07,0.16,-0.74,-0.87,0.66,-0.91,-0.86,-0.54,0.05,-0.06,-0.77,-0.78,0.5,0.6,0.43,-0.75,0.6,-0.67,-0.48,-0.62,-0.87,-0.87,-0.99,-0.96,-0.69,-0.87,-0.87,-0.22,-0.95,-0.29,0.06,-0.87,-0.36,-0.39,-0.87,0.09,-0.98,-0.5,-0.77,0.14,-0.87,-0.77,0.44,0.72,0.46,0.82,-0.74,-0.86,-0.77,0.16,-0.75,-0.24,-0.87,0.29,-0.77,1.0,0.17,-0.34,-0.66,-0.64,-0.87,-0.77,0.31,0.66,0.42,-0.76,0.86,0.88,0.38,0.55,-0.61,-0.87,-0.67,0.74,0.66,-0.87,-0.87
nsubj,-0.82,-0.94,0.94,0.1,-0.63,0.32,0.2,0.33,0.72,-0.95,-0.44,-0.66,0.12,0.92,0.73,-0.53,-0.55,0.81,0.49,0.77,0.56,-0.63,-0.63,-0.19,-0.26,-0.8,-0.63,-0.63,0.92,0.1,0.82,-0.41,-0.63,-0.04,-0.94,-0.63,-0.9,-0.03,0.72,-0.66,-0.05,-0.63,-0.66,0.96,-0.35,-0.6,0.63,-0.1,-0.51,0.44,-0.35,-0.66,0.67,-0.63,-0.58,0.37,0.17,1.0,0.7,-0.77,-0.3,-0.63,-0.66,-0.68,0.32,0.97,-0.65,-0.31,0.41,-0.83,0.87,0.18,-0.63,0.5,0.06,0.32,-0.63,-0.63
nsubj_cop,-0.76,-0.9,0.49,0.09,-0.09,0.33,0.69,0.6,0.91,-0.64,0.17,-0.34,0.77,0.57,0.02,-0.97,0.2,0.16,0.93,0.75,0.95,-0.09,-0.09,0.25,0.38,-0.41,-0.09,-0.09,0.86,0.62,0.98,-0.83,-0.09,0.64,-0.69,-0.09,-0.94,0.5,0.96,-0.34,-0.63,-0.09,-0.34,0.5,-0.33,-0.99,-0.05,-0.1,-0.18,0.85,0.14,-0.38,0.29,-0.09,-0.21,0.86,-0.34,0.7,1.0,-0.47,0.46,-0.09,-0.34,-1.0,0.33,0.57,-0.36,-0.53,0.12,-0.72,0.57,0.83,-0.09,0.92,0.06,0.33,-0.09,-0.09
modal,0.28,0.68,-0.62,0.55,0.91,-0.82,0.3,0.29,-0.24,0.53,0.03,0.99,0.16,-0.96,-0.65,0.35,0.61,-0.76,-0.11,-0.21,-0.17,0.91,0.91,0.72,0.62,0.99,0.91,0.91,-0.53,0.4,-0.52,0.55,0.91,-0.09,0.93,0.91,0.68,0.53,-0.31,0.99,0.29,0.91,0.99,-0.86,-0.33,0.35,-0.78,0.7,0.94,0.04,-0.16,0.99,-0.1,0.91,-0.01,0.05,-0.66,-0.77,-0.47,1.0,0.3,0.91,0.99,0.49,-0.82,-0.89,0.98,-0.34,-0.89,0.28,-0.98,-0.03,0.91,-0.1,-0.68,-0.82,0.91,0.91
acl:relc,0.03,-0.03,-0.53,-0.05,0.64,0.08,0.65,0.36,0.31,0.34,0.79,0.34,0.87,-0.37,-0.87,-0.65,0.94,-0.79,0.62,0.03,0.56,0.64,0.64,0.54,0.82,0.42,0.64,0.64,-0.0,0.68,0.28,-0.63,0.64,0.92,0.24,0.64,-0.15,0.67,0.38,0.34,-0.81,0.64,0.34,-0.51,0.02,-0.58,-0.83,-0.04,0.35,0.58,0.66,0.29,-0.47,0.64,0.47,0.67,-0.64,-0.3,0.46,0.3,1.0,0.64,0.34,-0.49,0.08,-0.43,0.29,-0.29,-0.32,0.08,-0.31,0.88,0.64,0.6,0.04,0.08,0.65,0.65
csubj,0.09,0.42,-0.59,0.54,1.0,-0.69,0.62,0.52,0.07,0.43,0.26,0.94,0.55,-0.86,-0.83,-0.07,0.86,-0.87,0.28,-0.0,0.21,1.0,1.0,0.88,0.89,0.94,1.0,1.0,-0.29,0.7,-0.18,0.16,1.0,0.3,0.77,1.0,0.38,0.79,0.03,0.94,-0.08,1.0,0.94,-0.82,-0.4,-0.06,-0.95,0.63,0.93,0.39,0.04,0.92,-0.13,1.0,0.06,0.42,-0.87,-0.63,-0.09,0.91,0.64,1.0,0.94,0.1,-0.69,-0.81,0.92,-0.53,-0.9,0.11,-0.87,0.39,1.0,0.28,-0.62,-0.69,1.0,1.0
csubj_cop,0.13,0.55,-0.51,0.66,0.94,-0.87,0.44,0.45,-0.08,0.4,-0.02,1.0,0.27,-0.9,-0.63,0.22,0.64,-0.73,0.04,-0.04,-0.02,0.94,0.94,0.82,0.71,0.98,0.94,0.94,-0.38,0.53,-0.37,0.49,0.94,-0.05,0.86,0.94,0.55,0.65,-0.16,1.0,0.27,0.94,1.0,-0.8,-0.47,0.21,-0.8,0.78,0.98,0.19,-0.22,1.0,0.02,0.94,-0.12,0.19,-0.77,-0.66,-0.34,0.99,0.34,0.94,1.0,0.37,-0.87,-0.82,1.0,-0.49,-0.95,0.13,-0.94,0.07,0.94,0.05,-0.77,-0.87,0.94,0.94
obj,0.71,0.88,-0.45,-0.03,0.1,-0.38,-0.66,-0.56,-0.88,0.6,-0.22,0.37,-0.77,-0.57,0.0,0.98,-0.21,-0.14,-0.91,-0.71,-0.93,0.1,0.1,-0.22,-0.37,0.43,0.1,0.1,-0.84,-0.59,-0.96,0.87,0.1,-0.68,0.69,0.1,0.94,-0.47,-0.94,0.37,0.68,0.1,0.37,-0.49,0.27,0.99,0.06,0.15,0.22,-0.83,-0.2,0.4,-0.23,0.1,0.15,-0.84,0.31,-0.68,-1.0,0.49,-0.49,0.1,0.37,1.0,-0.38,-0.56,0.39,0.48,-0.16,0.68,-0.58,-0.84,0.1,-0.91,-0.12,-0.38,0.1,0.1
ccomp,0.18,-0.33,0.07,-0.89,-0.69,1.0,-0.39,-0.56,-0.06,0.0,0.51,-0.87,-0.05,0.63,0.17,-0.33,-0.23,0.29,-0.01,-0.24,0.03,-0.69,-0.69,-0.75,-0.48,-0.75,-0.69,-0.69,0.11,-0.44,0.25,-0.7,-0.69,0.44,-0.62,-0.69,-0.4,-0.55,0.06,-0.87,-0.64,-0.69,-0.87,0.43,0.74,-0.25,0.44,-0.97,-0.9,-0.19,0.68,-0.89,-0.48,-0.69,0.57,-0.13,0.66,0.32,0.33,-0.82,0.08,-0.69,-0.87,-0.38,1.0,0.48,-0.89,0.63,0.92,0.2,0.72,0.19,-0.69,-0.02,0.96,1.0,-0.68,-0.68
xcomp,-0.65,-0.86,0.91,-0.11,-0.81,0.48,-0.05,0.08,0.52,-0.85,-0.4,-0.82,-0.09,0.98,0.82,-0.39,-0.69,0.89,0.28,0.58,0.36,-0.81,-0.81,-0.44,-0.49,-0.92,-0.81,-0.81,0.79,-0.16,0.69,-0.38,-0.81,-0.11,-0.97,-0.81,-0.81,-0.28,0.53,-0.82,-0.03,-0.81,-0.82,1.0,-0.12,-0.44,0.79,-0.3,-0.7,0.2,-0.27,-0.81,0.54,-0.81,-0.45,0.15,0.42,0.97,0.57,-0.89,-0.43,-0.81,-0.82,-0.56,0.48,1.0,-0.8,-0.05,0.61,-0.66,0.95,0.02,-0.81,0.29,0.27,0.48,-0.81,-0.81
obl,0.11,0.55,-0.48,0.68,0.92,-0.89,0.43,0.45,-0.09,0.37,-0.07,1.0,0.24,-0.89,-0.59,0.25,0.6,-0.69,0.02,-0.03,-0.04,0.92,0.92,0.81,0.69,0.97,0.92,0.92,-0.37,0.51,-0.38,0.53,0.92,-0.1,0.85,0.92,0.56,0.63,-0.17,1.0,0.32,0.92,1.0,-0.78,-0.49,0.24,-0.77,0.81,0.98,0.18,-0.27,1.0,0.06,0.92,-0.16,0.17,-0.76,-0.65,-0.36,0.98,0.29,0.92,1.0,0.39,-0.89,-0.8,1.0,-0.49,-0.96,0.11,-0.94,0.03,0.92,0.03,-0.79,-0.89,0.92,0.92
nmod,0.8,0.45,-0.36,-0.88,-0.53,0.63,-0.91,-1.0,-0.81,0.54,0.34,-0.49,-0.66,0.08,0.11,0.51,-0.34,0.12,-0.77,-0.84,-0.75,-0.53,-0.53,-0.87,-0.73,-0.32,-0.53,-0.53,-0.62,-0.9,-0.58,0.05,-0.53,-0.12,0.02,-0.53,0.43,-0.89,-0.74,-0.49,-0.07,-0.53,-0.49,-0.05,0.95,0.58,0.42,-0.79,-0.65,-0.87,0.51,-0.48,-0.68,-0.53,0.7,-0.82,0.86,-0.31,-0.53,-0.34,-0.29,-0.53,-0.49,0.48,0.63,-0.05,-0.49,1.0,0.73,0.78,0.17,-0.5,-0.53,-0.78,0.81,0.63,-0.52,-0.52
appos,0.18,-0.29,0.25,-0.84,-0.9,0.92,-0.63,-0.68,-0.2,-0.11,0.19,-0.95,-0.4,0.73,0.49,-0.04,-0.58,0.58,-0.26,-0.26,-0.21,-0.9,-0.9,-0.93,-0.78,-0.87,-0.9,-0.9,0.09,-0.7,0.11,-0.42,-0.9,0.06,-0.67,-0.9,-0.3,-0.79,-0.11,-0.95,-0.29,-0.9,-0.95,0.59,0.71,-0.0,0.74,-0.91,-0.99,-0.42,0.4,-0.95,-0.29,-0.9,0.37,-0.4,0.88,0.41,0.12,-0.89,-0.32,-0.9,-0.95,-0.16,0.92,0.61,-0.96,0.73,1.0,0.18,0.79,-0.17,-0.9,-0.27,0.9,0.92,-0.9,-0.9
nummod,1.0,0.86,-0.84,-0.61,0.11,0.2,-0.64,-0.79,-0.92,0.94,0.55,0.13,-0.41,-0.54,-0.44,0.59,0.2,-0.48,-0.73,-0.99,-0.76,0.11,0.11,-0.38,-0.23,0.33,0.11,0.11,-0.95,-0.56,-0.84,0.23,0.11,0.03,0.61,0.11,0.8,-0.48,-0.87,0.13,-0.08,0.11,0.13,-0.65,0.8,0.68,-0.19,-0.44,-0.07,-0.76,0.59,0.13,-0.87,0.11,0.83,-0.68,0.38,-0.83,-0.72,0.28,0.08,0.11,0.13,0.68,0.2,-0.66,0.11,0.78,0.18,1.0,-0.46,-0.35,0.11,-0.74,0.47,0.2,0.11,0.11
amod,-0.46,-0.79,0.74,-0.39,-0.87,0.72,-0.16,-0.12,0.4,-0.67,-0.14,-0.94,-0.08,0.99,0.7,-0.43,-0.62,0.8,0.23,0.38,0.3,-0.87,-0.87,-0.6,-0.54,-0.98,-0.87,-0.87,0.67,-0.27,0.64,-0.54,-0.87,0.07,-0.98,-0.87,-0.78,-0.4,0.45,-0.94,-0.24,-0.87,-0.94,0.93,0.15,-0.44,0.76,-0.56,-0.86,0.1,0.02,-0.94,0.26,-0.87,-0.16,0.08,0.55,0.87,0.57,-0.98,-0.31,-0.87,-0.94,-0.58,0.72,0.95,-0.94,0.17,0.79,-0.46,1.0,0.09,-0.87,0.23,0.53,0.72,-0.87,-0.87
advcl,-0.4,-0.49,-0.07,0.06,0.39,0.19,0.8,0.58,0.7,-0.14,0.57,0.07,0.97,0.06,-0.54,-0.93,0.71,-0.43,0.9,0.44,0.87,0.39,0.39,0.51,0.74,0.07,0.39,0.39,0.47,0.79,0.7,-0.82,0.39,0.91,-0.2,0.39,-0.59,0.72,0.76,0.07,-0.83,0.39,0.07,-0.07,-0.2,-0.89,-0.57,-0.04,0.16,0.84,0.46,0.01,-0.12,0.39,0.16,0.9,-0.61,0.18,0.83,-0.03,0.88,0.39,0.07,-0.84,0.19,0.02,0.03,-0.5,-0.17,-0.35,0.09,1.0,0.39,0.89,0.02,0.19,0.39,0.39
voc,0.09,0.42,-0.59,0.54,1.0,-0.69,0.62,0.52,0.07,0.43,0.26,0.94,0.55,-0.86,-0.83,-0.07,0.86,-0.87,0.28,-0.0,0.21,1.0,1.0,0.88,0.89,0.94,1.0,1.0,-0.29,0.7,-0.18,0.16,1.0,0.3,0.77,1.0,0.38,0.79,0.03,0.94,-0.08,1.0,0.94,-0.82,-0.4,-0.06,-0.95,0.63,0.93,0.39,0.04,0.92,-0.13,1.0,0.06,0.42,-0.87,-0.63,-0.09,0.91,0.64,1.0,0.94,0.1,-0.69,-0.81,0.92,-0.53,-0.9,0.11,-0.87,0.39,1.0,0.28,-0.62,-0.69,1.0,1.0
cop,-0.78,-0.74,0.34,0.39,0.28,-0.02,0.92,0.84,0.95,-0.54,0.13,0.05,0.91,0.25,-0.2,-0.94,0.44,-0.11,1.0,0.8,1.0,0.28,0.28,0.61,0.69,-0.05,0.28,0.28,0.78,0.87,0.89,-0.66,0.28,0.63,-0.39,0.28,-0.78,0.79,0.96,0.05,-0.53,0.28,0.05,0.23,-0.57,-0.96,-0.36,0.24,0.21,0.99,0.02,0.01,0.35,0.28,-0.31,0.99,-0.67,0.5,0.92,-0.1,0.6,0.28,0.05,-0.91,-0.02,0.29,0.03,-0.78,-0.27,-0.74,0.23,0.89,0.28,1.0,-0.27,-0.03,0.28,0.28
conj,0.45,-0.05,-0.16,-0.99,-0.62,0.96,-0.57,-0.75,-0.34,0.26,0.58,-0.77,-0.21,0.43,0.07,-0.09,-0.2,0.17,-0.25,-0.51,-0.23,-0.62,-0.62,-0.82,-0.54,-0.6,-0.62,-0.62,-0.18,-0.6,-0.03,-0.53,-0.62,0.35,-0.39,-0.62,-0.12,-0.67,-0.22,-0.77,-0.56,-0.62,-0.77,0.22,0.9,0.0,0.38,-1.0,-0.85,-0.43,0.75,-0.78,-0.66,-0.62,0.73,-0.35,0.74,0.06,0.06,-0.68,0.04,-0.62,-0.77,-0.12,0.96,0.27,-0.79,0.81,0.9,0.47,0.53,0.02,-0.62,-0.27,1.0,0.96,-0.62,-0.62
