,noun,adj,propn,adv,intj,cconj,sconj,adp,det,num,punct,symbol,particle,pron,abbr,TTR,avg_word_len,avr_sent_len,hapax_legomena,coref,see_pron,see_det,1st_pron,2nd_pron,3rd_pron,active_voice,passive_voice,1st_prs_verb,2nd_prs_verb,3rd_prs_verb,core_verb,verbtype_ratio,da_inf,gerund,supine,verb_particle,pres_tense,past_tense,ind_mood,cond_mood,imp_mood,quot_mood,neg_polarity,nom_case,gen_case,part_case,ill_case,ine_case,ela_case,alla_case,ade_case,abl_case,tra_case,ter_case,ess_case,abe_case,com_case,nsubj,nsubj_cop,modal,acl:relc,csubj,csubj_cop,obj,ccomp,xcomp,obl,nmod,appos,nummod,amod,advcl,voc,cop,conj,cc
ind_mood,-0.06,-0.29,0.19,-0.04,-0.2,-0.07,-0.32,0.25,0.18,-0.09,0.08,0.49,0.34,0.28,-0.41,-0.1,0.01,0.04,-0.01,0.32,0.31,-0.15,0.29,-0.21,0.44,0.64,0.13,0.55,-0.26,0.19,0.18,0.51,-0.48,-0.32,0.14,0.14,-0.36,0.67,1.0,-0.46,-0.16,0.34,-0.37,-0.33,0.34,0.17,0.29,-0.2,0.1,0.27,0.43,-0.03,0.51,0.49,0.27,0.19,0.23,0.05,-0.08,-0.04,-0.14,0.18,0.14,0.47,-0.17,0.12,0.5,-0.0,-0.09,0.24,-0.06,-0.2,0.31,-0.15,0.09,-0.07
cond_mood,-0.09,-0.08,-0.01,0.04,0.09,-0.21,-0.07,-0.2,-0.26,0.32,0.14,-0.34,-0.32,-0.23,0.05,-0.12,-0.01,-0.41,-0.14,-0.11,-0.1,-0.09,-0.42,0.18,-0.15,0.07,0.03,-0.35,0.45,0.01,0.18,-0.03,-0.01,-0.14,0.25,-0.13,0.49,-0.47,-0.46,1.0,0.4,-0.32,0.12,0.15,-0.43,-0.18,0.06,0.32,-0.21,0.02,-0.17,-0.06,-0.17,-0.4,-0.51,-0.13,-0.28,-0.03,0.12,0.13,0.16,-0.31,-0.36,-0.26,-0.23,0.07,-0.21,-0.38,-0.01,0.03,-0.09,0.16,-0.32,0.16,-0.24,-0.2
imp_mood,-0.04,-0.02,0.18,-0.43,-0.2,-0.34,0.04,0.12,0.1,0.72,0.04,-0.01,0.04,-0.2,0.29,0.02,0.01,0.01,0.01,-0.15,-0.1,0.03,-0.14,-0.16,-0.04,0.25,-0.07,-0.15,0.49,0.01,0.42,-0.11,0.24,0.02,0.22,-0.06,0.28,-0.18,-0.16,0.4,1.0,0.04,0.31,0.36,-0.24,-0.22,0.1,0.01,-0.22,0.26,-0.34,0.3,0.01,-0.03,-0.19,0.08,0.0,0.11,-0.11,0.39,-0.28,0.01,-0.11,-0.23,-0.33,0.4,-0.05,-0.17,0.02,0.41,-0.0,0.26,0.08,0.03,0.04,-0.32
quot_mood,-0.04,0.39,0.56,0.17,0.44,-0.2,-0.19,0.35,0.06,0.02,-0.11,0.88,1.0,0.04,0.11,0.61,0.06,-0.28,0.66,0.04,-0.03,-0.04,0.25,-0.1,0.11,0.24,-0.08,0.4,-0.28,0.02,0.53,-0.05,0.02,0.44,-0.06,0.53,-0.35,0.5,0.34,-0.32,0.04,1.0,-0.05,0.05,0.46,-0.09,0.02,-0.09,0.36,-0.12,0.15,0.49,0.41,0.76,0.65,0.85,0.64,0.13,-0.19,0.45,0.04,0.73,0.58,0.19,-0.31,-0.04,0.2,0.39,0.52,0.21,0.54,0.16,0.93,-0.16,-0.06,-0.21
neg_polarity,-0.15,0.07,0.12,-0.1,-0.15,-0.14,0.37,-0.28,-0.06,0.18,0.03,-0.18,-0.05,-0.06,0.36,0.06,0.02,-0.0,-0.04,-0.06,0.01,0.0,-0.16,0.19,-0.07,-0.31,0.15,-0.35,0.29,-0.27,0.06,-0.19,0.32,0.18,-0.22,0.01,0.33,-0.39,-0.37,0.12,0.31,-0.05,1.0,0.37,-0.35,-0.02,-0.24,-0.18,-0.31,-0.22,-0.2,0.04,-0.18,-0.09,0.06,-0.12,0.02,0.1,0.18,0.33,0.12,0.16,-0.18,-0.3,-0.01,0.07,-0.37,-0.09,0.27,-0.03,-0.05,0.13,0.01,0.2,-0.14,-0.15
nom_case,-0.12,0.13,0.23,-0.17,0.04,0.0,0.32,0.12,0.27,0.1,-0.46,-0.32,0.05,0.12,0.18,0.21,-0.01,0.05,0.2,0.06,0.1,0.13,0.13,-0.19,0.0,-0.12,0.12,-0.66,-0.01,0.52,0.19,-0.23,0.12,0.18,0.04,0.08,0.22,-0.25,-0.33,0.15,0.36,0.05,0.37,1.0,-0.37,-0.5,-0.09,0.38,-0.21,-0.4,-0.51,0.17,-0.31,-0.36,0.02,0.03,0.24,0.42,0.44,0.45,0.17,0.06,0.1,-0.65,0.04,0.13,-0.47,0.15,0.06,-0.06,-0.22,0.15,0.02,0.48,0.05,0.01
gen_case,0.38,0.11,0.17,-0.26,0.14,-0.36,-0.08,0.32,0.29,-0.19,-0.02,0.58,0.46,0.19,-0.34,0.19,0.33,0.08,0.14,-0.01,-0.1,0.35,0.38,-0.22,0.28,0.06,-0.05,0.6,-0.44,-0.17,-0.09,0.01,-0.19,0.19,-0.19,0.24,-0.42,0.47,0.34,-0.43,-0.24,0.46,-0.35,-0.37,1.0,0.18,-0.08,0.04,0.12,0.22,0.48,0.18,0.14,0.6,0.35,0.46,0.39,0.22,-0.48,-0.11,0.04,0.17,0.06,0.62,-0.33,-0.32,0.51,0.7,0.17,0.04,0.36,0.23,0.44,-0.59,-0.29,-0.36
part_case,0.37,0.13,-0.25,-0.15,-0.12,0.09,-0.27,-0.14,0.07,0.05,0.24,0.31,-0.09,-0.37,-0.0,-0.3,0.23,0.16,-0.27,-0.27,-0.4,0.18,-0.18,-0.03,-0.31,-0.13,0.19,0.57,-0.25,-0.57,-0.43,0.3,-0.3,-0.05,0.06,-0.26,-0.4,0.3,0.17,-0.18,-0.22,-0.09,-0.02,-0.5,0.18,1.0,0.16,-0.39,-0.15,0.23,0.14,-0.14,-0.04,0.27,-0.08,-0.24,0.06,-0.45,-0.26,-0.38,-0.15,-0.14,-0.18,0.51,0.01,0.19,0.24,-0.05,0.2,0.26,0.35,-0.35,-0.05,-0.4,0.15,0.08
ill_case,-0.04,-0.18,-0.16,0.05,0.08,-0.07,0.13,0.3,-0.03,-0.03,-0.4,0.11,0.02,0.1,0.05,-0.1,-0.11,0.43,-0.15,0.08,-0.08,-0.1,-0.02,0.41,0.27,0.6,-0.06,0.04,0.28,0.16,0.34,-0.12,-0.15,0.09,0.95,-0.13,-0.13,0.21,0.29,0.06,0.1,0.02,-0.24,-0.09,-0.08,0.16,1.0,-0.08,-0.13,0.15,-0.04,0.17,0.01,0.02,-0.22,-0.15,-0.06,0.12,-0.12,0.19,-0.31,-0.18,0.1,0.24,-0.16,0.57,0.26,-0.21,-0.08,0.14,0.02,0.21,0.09,-0.08,0.2,-0.06
ine_case,0.08,-0.17,0.28,-0.17,-0.16,-0.14,0.02,-0.18,0.41,0.01,-0.04,-0.24,-0.09,0.05,-0.26,0.05,0.12,-0.16,0.06,-0.1,0.13,0.48,0.07,-0.12,-0.05,-0.01,0.08,-0.29,-0.16,0.31,0.12,-0.11,-0.33,-0.2,-0.0,0.1,-0.05,0.05,-0.2,0.32,0.01,-0.09,-0.18,0.38,0.04,-0.39,-0.08,1.0,-0.09,-0.09,-0.03,-0.08,-0.06,-0.26,0.06,0.05,-0.12,0.06,0.34,0.19,0.12,-0.23,0.16,-0.3,-0.11,-0.35,-0.15,0.21,-0.04,-0.02,-0.29,0.13,-0.05,0.34,-0.12,-0.15
ela_case,0.1,0.28,0.19,0.23,0.34,0.31,-0.51,-0.11,-0.14,-0.05,-0.1,0.32,0.36,-0.15,0.04,0.63,0.09,-0.44,0.58,-0.16,-0.23,-0.1,-0.13,0.01,-0.07,-0.02,0.1,0.06,-0.08,0.14,0.17,-0.12,0.1,0.21,-0.12,0.29,-0.26,0.29,0.1,-0.21,-0.22,0.36,-0.31,-0.21,0.12,-0.15,-0.13,-0.09,1.0,0.23,0.32,-0.15,0.29,0.45,0.37,0.26,0.27,-0.32,0.01,0.04,0.11,0.31,0.57,0.19,0.23,-0.3,0.25,0.17,0.0,0.14,0.29,-0.16,0.36,-0.04,0.03,0.31
alla_case,0.43,-0.09,0.02,-0.56,-0.04,-0.07,-0.41,-0.24,0.11,0.26,0.3,0.2,-0.12,-0.34,-0.22,-0.14,0.41,0.06,-0.11,-0.35,-0.27,0.15,-0.29,-0.1,-0.15,0.36,0.29,0.34,0.12,-0.25,0.09,0.01,-0.14,-0.08,0.11,0.13,-0.07,0.26,0.27,0.02,0.26,-0.12,-0.22,-0.4,0.22,0.23,0.15,-0.09,0.23,1.0,0.26,-0.18,0.15,0.37,-0.1,-0.21,-0.1,-0.32,-0.27,-0.05,-0.03,-0.18,-0.12,0.57,-0.11,0.01,0.58,-0.1,-0.14,0.33,0.01,-0.03,-0.04,-0.23,0.03,-0.06
ade_case,0.28,-0.13,0.18,-0.01,-0.11,-0.09,-0.46,-0.1,0.08,-0.02,-0.02,0.33,0.15,0.01,-0.1,0.28,0.34,-0.22,0.16,-0.1,0.01,0.05,0.06,-0.21,0.36,0.29,0.03,0.38,-0.27,-0.04,-0.1,0.09,-0.24,-0.27,-0.14,0.28,-0.28,0.45,0.43,-0.17,-0.34,0.15,-0.2,-0.51,0.48,0.14,-0.04,-0.03,0.32,0.26,1.0,-0.24,0.46,0.4,0.24,0.07,-0.01,0.05,-0.31,-0.17,0.17,-0.05,0.0,0.53,-0.07,-0.19,0.57,0.13,0.18,0.18,0.15,-0.32,0.05,-0.36,-0.19,-0.1
abl_case,-0.12,0.35,0.26,-0.1,0.35,-0.31,0.18,0.22,0.01,0.15,-0.07,0.39,0.49,0.03,0.25,0.18,-0.18,0.05,0.18,0.05,0.07,0.06,0.15,0.01,-0.02,0.2,-0.19,0.16,0.01,-0.02,0.43,-0.34,0.48,0.38,0.07,0.35,-0.09,0.17,-0.03,-0.06,0.3,0.49,0.04,0.17,0.18,-0.14,0.17,-0.08,-0.15,-0.18,-0.24,1.0,0.07,0.16,0.3,0.4,0.25,0.21,-0.22,0.41,0.1,0.34,0.31,0.08,-0.33,0.18,0.08,0.1,0.28,0.12,0.29,0.27,0.4,-0.02,-0.1,-0.3
tra_case,-0.07,0.02,0.51,0.01,-0.13,0.02,-0.46,-0.12,0.12,0.04,0.22,0.47,0.41,-0.14,-0.1,0.25,0.11,-0.18,0.35,-0.09,0.26,-0.11,-0.12,-0.07,0.05,0.52,0.11,0.34,-0.06,0.01,0.37,-0.0,-0.04,-0.22,-0.05,0.52,0.02,0.31,0.51,-0.17,0.01,0.41,-0.18,-0.31,0.14,-0.04,0.01,-0.06,0.29,0.15,0.46,0.07,1.0,0.44,0.26,0.33,-0.06,-0.08,-0.22,0.27,-0.06,0.49,0.2,0.32,-0.08,0.12,0.21,-0.26,0.2,0.18,0.19,-0.25,0.38,-0.14,0.26,0.01
ter_case,0.25,0.27,0.39,-0.05,0.25,-0.14,-0.31,0.21,0.13,0.0,0.04,0.89,0.76,-0.13,-0.08,0.44,0.31,-0.21,0.52,-0.15,-0.24,0.07,0.07,-0.09,0.1,0.24,0.13,0.63,-0.22,-0.27,0.23,0.07,-0.15,0.31,-0.1,0.41,-0.44,0.6,0.49,-0.4,-0.03,0.76,-0.09,-0.36,0.6,0.27,0.02,-0.26,0.45,0.37,0.4,0.16,0.44,1.0,0.48,0.54,0.57,-0.12,-0.41,0.17,-0.11,0.58,0.34,0.6,-0.22,-0.15,0.53,0.36,0.34,0.29,0.56,0.08,0.73,-0.46,-0.07,-0.15
ess_case,0.07,0.22,0.44,0.07,0.17,-0.25,-0.13,-0.03,0.08,-0.05,0.08,0.54,0.65,0.03,-0.04,0.4,0.06,-0.22,0.39,-0.05,0.09,0.12,0.24,-0.24,0.04,-0.01,-0.07,0.27,-0.49,0.03,0.32,-0.02,0.09,0.19,-0.37,0.42,-0.42,0.48,0.27,-0.51,-0.19,0.65,0.06,0.02,0.35,-0.08,-0.22,0.06,0.37,-0.1,0.24,0.3,0.26,0.48,1.0,0.59,0.35,-0.02,-0.03,0.28,0.28,0.48,0.74,0.11,-0.24,-0.23,0.27,0.45,0.37,0.07,0.22,-0.05,0.6,0.08,-0.22,-0.26
abe_case,-0.02,0.23,0.49,0.26,0.34,-0.47,-0.08,0.43,-0.1,-0.04,-0.03,0.65,0.85,0.09,0.01,0.54,0.03,-0.38,0.58,0.04,0.08,-0.07,0.25,-0.1,0.1,0.11,-0.09,0.24,-0.22,0.11,0.52,-0.09,0.11,0.35,-0.17,0.45,-0.16,0.28,0.19,-0.13,0.08,0.85,-0.12,0.03,0.46,-0.24,-0.15,0.05,0.26,-0.21,0.07,0.4,0.33,0.54,0.59,1.0,0.4,0.31,-0.28,0.46,0.04,0.61,0.42,0.07,-0.56,-0.17,0.19,0.48,0.4,-0.05,0.48,0.39,0.8,-0.25,-0.35,-0.48
com_case,0.11,0.41,0.31,-0.08,0.4,-0.06,-0.07,0.3,0.15,0.09,-0.26,0.57,0.64,0.07,-0.16,0.43,0.24,-0.12,0.45,0.09,-0.2,0.02,0.18,-0.25,0.24,0.02,-0.0,0.23,-0.32,0.14,0.03,0.15,-0.12,0.38,-0.06,0.18,-0.31,0.33,0.23,-0.28,0.0,0.64,0.02,0.24,0.39,0.06,-0.06,-0.12,0.27,-0.1,-0.01,0.25,-0.06,0.57,0.35,0.4,1.0,0.09,-0.03,0.07,-0.01,0.5,0.35,0.14,-0.12,-0.12,0.04,0.56,0.32,0.32,0.38,0.06,0.54,-0.14,0.01,-0.07
nsubj,-0.08,-0.21,0.19,-0.02,0.09,-0.53,0.52,0.56,0.11,-0.28,-0.59,-0.14,0.13,0.5,-0.02,0.22,0.1,0.28,0.12,0.28,0.32,0.01,0.44,-0.05,0.58,0.25,-0.01,-0.34,0.03,0.48,0.17,-0.36,0.24,0.15,0.17,0.24,0.23,-0.11,0.05,-0.03,0.11,0.13,0.1,0.42,0.22,-0.45,0.12,0.06,-0.32,-0.32,0.05,0.21,-0.08,-0.12,-0.02,0.31,0.09,1.0,-0.26,0.39,0.07,0.07,-0.28,-0.06,-0.46,0.16,0.13,0.34,0.08,-0.42,-0.08,0.52,0.04,-0.25,-0.4,-0.52
nsubj_cop,-0.4,0.06,-0.14,0.05,-0.12,0.4,-0.03,-0.33,0.09,0.01,0.1,-0.36,-0.19,0.22,-0.09,-0.18,-0.47,-0.18,-0.24,0.29,0.1,-0.07,0.08,0.01,-0.12,-0.24,0.13,-0.35,-0.08,0.26,0.12,0.26,-0.23,-0.02,-0.09,-0.25,-0.07,-0.03,-0.08,0.12,-0.11,-0.19,0.18,0.44,-0.48,-0.26,-0.12,0.34,0.01,-0.27,-0.31,-0.22,-0.22,-0.41,-0.03,-0.28,-0.03,-0.26,1.0,-0.1,0.31,-0.14,0.24,-0.62,0.39,-0.06,-0.5,-0.26,-0.34,0.08,-0.42,-0.23,-0.1,0.9,0.19,0.39
modal,-0.1,-0.08,0.7,0.02,0.14,-0.37,0.09,0.06,0.04,-0.01,-0.27,0.18,0.45,-0.01,0.2,0.44,0.19,-0.07,0.45,-0.08,0.32,0.1,-0.13,0.2,0.01,0.38,0.24,-0.34,0.19,0.29,0.73,-0.55,0.31,0.23,0.21,0.63,0.3,-0.06,-0.04,0.13,0.39,0.45,0.33,0.45,-0.11,-0.38,0.19,0.19,0.04,-0.05,-0.17,0.41,0.27,0.17,0.28,0.46,0.07,0.39,-0.1,1.0,0.02,0.47,0.19,-0.04,-0.42,0.12,-0.01,0.08,0.44,-0.11,0.01,0.4,0.52,0.04,-0.1,-0.36
acl:relc,0.02,0.35,0.07,-0.14,0.45,-0.04,-0.11,-0.3,0.01,-0.26,0.13,-0.04,0.04,0.07,-0.17,0.04,-0.04,-0.33,-0.09,0.06,-0.05,0.09,0.06,-0.13,-0.1,-0.16,0.23,-0.06,-0.34,0.0,0.1,-0.07,0.09,0.21,-0.31,0.28,0.04,-0.01,-0.14,0.16,-0.28,0.04,0.12,0.17,0.04,-0.15,-0.31,0.12,0.11,-0.03,0.17,0.1,-0.06,-0.11,0.28,0.04,-0.01,0.07,0.31,0.02,1.0,-0.0,0.06,0.04,-0.02,-0.12,0.09,-0.0,0.03,-0.25,-0.01,-0.13,-0.03,0.33,-0.43,-0.04
csubj,-0.3,0.26,0.63,0.21,0.37,-0.09,-0.07,0.19,0.01,-0.19,0.03,0.58,0.73,0.1,-0.07,0.37,-0.03,-0.11,0.5,0.17,0.27,-0.08,0.08,-0.08,0.12,0.16,-0.14,0.18,-0.24,0.02,0.46,-0.18,0.32,0.43,-0.23,0.58,0.04,0.12,0.18,-0.31,0.01,0.73,0.16,0.06,0.17,-0.14,-0.18,-0.23,0.31,-0.18,-0.05,0.34,0.49,0.58,0.48,0.61,0.5,0.07,-0.14,0.47,-0.0,1.0,0.35,0.11,-0.15,0.02,-0.01,0.14,0.41,-0.13,0.24,0.08,0.73,-0.06,0.15,-0.1
csubj_cop,0.02,0.42,0.19,0.2,0.24,0.12,-0.22,-0.02,-0.04,0.13,-0.1,0.45,0.58,-0.12,0.13,0.49,-0.15,-0.22,0.49,-0.15,-0.16,-0.08,0.05,-0.05,-0.1,0.0,-0.15,0.08,-0.27,0.21,0.42,-0.07,0.05,0.32,-0.01,0.2,-0.5,0.46,0.14,-0.36,-0.11,0.58,-0.18,0.1,0.06,-0.18,0.1,0.16,0.57,-0.12,0.0,0.31,0.2,0.34,0.74,0.42,0.35,-0.28,0.24,0.19,0.06,0.35,1.0,-0.15,0.05,-0.13,0.06,0.25,0.12,0.33,0.31,-0.07,0.56,0.35,0.15,0.11
obj,0.32,-0.09,0.19,-0.24,0.19,-0.19,-0.26,0.02,0.17,-0.24,0.12,0.51,0.19,-0.03,-0.32,-0.02,0.41,0.13,-0.03,-0.05,-0.07,0.28,0.0,0.07,0.14,0.4,0.19,0.66,-0.13,-0.36,-0.08,0.0,-0.14,-0.05,0.13,0.31,-0.21,0.41,0.47,-0.26,-0.23,0.19,-0.3,-0.65,0.62,0.51,0.24,-0.3,0.19,0.57,0.53,0.08,0.32,0.6,0.11,0.07,0.14,-0.06,-0.62,-0.04,0.04,0.11,-0.15,1.0,-0.23,0.01,0.68,0.15,0.2,0.02,0.23,-0.03,0.2,-0.7,-0.17,-0.19
ccomp,-0.14,0.11,-0.33,0.16,-0.11,0.96,-0.08,-0.26,0.1,-0.15,-0.06,-0.29,-0.31,-0.04,0.24,-0.06,-0.23,0.05,-0.04,0.05,-0.09,-0.04,-0.05,0.11,-0.24,-0.37,-0.04,-0.12,0.04,-0.11,-0.46,0.15,-0.14,-0.14,-0.15,-0.25,-0.01,-0.17,-0.17,-0.23,-0.33,-0.31,-0.01,0.04,-0.33,0.01,-0.16,-0.11,0.23,-0.11,-0.07,-0.33,-0.08,-0.22,-0.24,-0.56,-0.12,-0.46,0.39,-0.42,-0.02,-0.15,0.05,-0.23,1.0,-0.11,-0.47,-0.29,-0.26,0.02,-0.22,-0.54,-0.29,0.32,0.54,0.96
xcomp,-0.3,-0.03,-0.06,-0.19,0.04,-0.04,0.08,0.25,0.18,0.16,-0.15,0.02,-0.04,0.1,0.23,-0.25,-0.26,0.48,-0.29,0.2,-0.03,-0.03,0.16,-0.02,0.13,0.45,-0.2,0.08,0.17,-0.02,0.28,-0.05,0.16,0.06,0.6,-0.12,0.01,0.06,0.12,0.07,0.4,-0.04,0.07,0.13,-0.32,0.19,0.57,-0.35,-0.3,0.01,-0.19,0.18,0.12,-0.15,-0.23,-0.17,-0.12,0.16,-0.06,0.12,-0.12,0.02,-0.13,0.01,-0.11,1.0,0.07,-0.51,0.05,0.1,-0.06,-0.13,-0.04,0.01,0.31,-0.04
obl,0.37,-0.06,0.05,-0.23,0.1,-0.44,-0.26,0.24,0.08,-0.06,-0.06,0.41,0.2,-0.01,-0.23,0.09,0.25,0.0,0.06,-0.13,-0.15,0.12,0.14,-0.29,0.3,0.44,0.12,0.45,-0.26,0.0,0.16,-0.04,-0.03,0.08,0.13,0.23,-0.45,0.63,0.5,-0.21,-0.05,0.2,-0.37,-0.47,0.51,0.24,0.26,-0.15,0.25,0.58,0.57,0.08,0.21,0.53,0.27,0.19,0.04,0.13,-0.5,-0.01,0.09,-0.01,0.06,0.68,-0.47,0.07,1.0,0.2,-0.05,0.07,0.24,0.09,0.14,-0.46,-0.39,-0.44
nmod,0.48,0.18,0.14,-0.11,0.11,-0.36,0.16,0.36,0.15,-0.14,-0.37,0.27,0.39,0.12,-0.21,0.42,0.4,0.01,0.35,-0.14,-0.16,0.28,0.25,-0.24,0.23,-0.29,0.03,0.03,-0.42,0.19,-0.15,-0.12,-0.07,0.33,-0.24,0.09,-0.3,0.2,-0.0,-0.38,-0.17,0.39,-0.09,0.15,0.7,-0.05,-0.21,0.21,0.17,-0.1,0.13,0.1,-0.26,0.36,0.45,0.48,0.56,0.34,-0.26,0.08,-0.0,0.14,0.25,0.15,-0.29,-0.51,0.2,1.0,0.15,-0.05,0.32,0.39,0.38,-0.36,-0.36,-0.36
appos,0.11,0.12,0.67,0.08,0.32,-0.21,-0.2,-0.16,0.07,0.13,0.01,0.51,0.52,-0.26,0.35,0.42,0.49,-0.12,0.46,-0.22,0.04,0.21,-0.08,0.01,-0.21,0.14,-0.03,0.22,-0.17,-0.24,0.13,-0.26,0.12,0.07,-0.1,0.61,-0.02,0.13,-0.09,-0.01,0.02,0.52,0.27,0.06,0.17,0.2,-0.08,-0.04,0.0,-0.14,0.18,0.28,0.2,0.34,0.37,0.4,0.32,0.08,-0.34,0.44,0.03,0.41,0.12,0.2,-0.26,0.05,-0.05,0.15,1.0,0.15,0.31,-0.15,0.4,-0.28,0.03,-0.21
nummod,0.32,0.29,0.04,-0.36,-0.22,0.11,-0.54,-0.22,0.09,0.84,0.13,0.41,0.21,-0.49,0.25,0.19,0.22,-0.18,0.17,-0.39,-0.41,-0.07,-0.25,-0.26,-0.19,0.18,0.05,0.31,0.04,-0.08,0.07,0.27,-0.26,-0.13,0.11,-0.09,-0.37,0.42,0.24,0.03,0.41,0.21,-0.03,-0.06,0.04,0.26,0.14,-0.02,0.14,0.33,0.18,0.12,0.18,0.29,0.07,-0.05,0.32,-0.42,0.08,-0.11,-0.25,-0.13,0.33,0.02,0.02,0.1,0.07,-0.05,0.15,1.0,0.33,-0.34,0.16,0.09,0.37,0.11
amod,0.52,0.76,-0.06,0.04,0.35,-0.11,-0.19,0.16,-0.25,0.22,-0.13,0.62,0.54,-0.53,0.31,0.57,0.27,-0.26,0.56,-0.56,-0.69,-0.2,-0.23,0.02,-0.28,-0.19,0.17,0.29,-0.08,-0.25,0.02,-0.16,0.13,0.52,-0.01,0.13,-0.33,0.25,-0.06,-0.09,-0.0,0.54,-0.05,-0.22,0.36,0.35,0.02,-0.29,0.29,0.01,0.15,0.29,0.19,0.56,0.22,0.48,0.38,-0.08,-0.42,0.01,-0.01,0.24,0.31,0.23,-0.22,-0.06,0.24,0.32,0.31,0.33,1.0,0.17,0.43,-0.43,-0.1,-0.12
advcl,0.02,-0.01,-0.04,0.01,0.18,-0.59,0.63,0.41,-0.19,-0.17,-0.26,-0.04,0.16,0.23,-0.1,0.16,-0.03,0.13,0.1,0.02,-0.06,-0.03,0.08,0.42,0.24,-0.01,0.06,-0.29,0.4,0.1,0.34,-0.42,0.28,0.48,0.25,0.01,0.22,-0.24,-0.2,0.16,0.26,0.16,0.13,0.15,0.23,-0.35,0.21,0.13,-0.16,-0.03,-0.32,0.27,-0.25,0.08,-0.05,0.39,0.06,0.52,-0.23,0.4,-0.13,0.08,-0.07,-0.03,-0.54,-0.13,0.09,0.39,-0.15,-0.34,0.17,1.0,0.25,-0.22,-0.49,-0.59
voc,-0.08,0.28,0.52,0.14,0.3,-0.19,-0.17,0.31,0.09,-0.04,-0.06,0.81,0.93,0.1,0.03,0.5,-0.02,-0.21,0.52,0.07,0.01,0.04,0.19,0.04,0.08,0.2,-0.04,0.36,-0.21,-0.03,0.61,-0.07,-0.02,0.47,0.0,0.43,-0.29,0.41,0.31,-0.32,0.08,0.93,0.01,0.02,0.44,-0.05,0.09,-0.05,0.36,-0.04,0.05,0.4,0.38,0.73,0.6,0.8,0.54,0.04,-0.1,0.52,-0.03,0.73,0.56,0.2,-0.29,-0.04,0.14,0.38,0.4,0.16,0.43,0.25,1.0,-0.11,-0.02,-0.2
cop,-0.39,0.1,-0.07,0.05,-0.06,0.33,-0.02,-0.36,-0.05,0.13,0.14,-0.35,-0.16,0.08,0.01,-0.18,-0.47,-0.13,-0.19,0.17,0.18,-0.19,-0.06,-0.05,-0.16,-0.12,-0.05,-0.42,-0.06,0.31,0.29,0.1,-0.01,0.03,-0.08,-0.11,0.07,-0.12,-0.15,0.16,0.03,-0.16,0.2,0.48,-0.59,-0.4,-0.08,0.34,-0.04,-0.23,-0.36,-0.02,-0.14,-0.46,0.08,-0.25,-0.14,-0.25,0.9,0.04,0.33,-0.06,0.35,-0.7,0.32,0.01,-0.46,-0.36,-0.28,0.09,-0.43,-0.22,-0.11,1.0,0.27,0.32
conj,-0.06,0.09,-0.0,-0.05,-0.18,0.63,-0.28,-0.16,0.11,0.22,0.01,0.04,-0.06,-0.26,0.14,-0.13,-0.01,0.38,0.02,-0.12,0.05,-0.15,-0.25,-0.06,-0.24,0.15,-0.17,0.03,-0.05,0.08,-0.05,0.04,-0.09,-0.09,0.18,-0.02,0.03,-0.02,0.09,-0.24,0.04,-0.06,-0.14,0.05,-0.29,0.15,0.2,-0.12,0.03,0.03,-0.19,-0.1,0.26,-0.07,-0.22,-0.35,0.01,-0.4,0.19,-0.1,-0.43,0.15,0.15,-0.17,0.54,0.31,-0.39,-0.36,0.03,0.37,-0.1,-0.49,-0.02,0.27,1.0,0.64
cc,-0.11,0.18,-0.28,0.2,-0.02,1.0,-0.25,-0.24,0.04,-0.11,-0.04,-0.16,-0.21,-0.14,0.25,-0.02,-0.2,-0.02,0.05,-0.01,-0.13,-0.14,-0.14,0.11,-0.34,-0.25,0.04,-0.06,0.01,-0.04,-0.36,0.18,-0.2,-0.12,-0.05,-0.18,-0.05,-0.08,-0.07,-0.2,-0.32,-0.21,-0.15,0.01,-0.36,0.08,-0.06,-0.15,0.31,-0.06,-0.1,-0.3,0.01,-0.15,-0.26,-0.48,-0.07,-0.52,0.39,-0.36,-0.04,-0.1,0.11,-0.19,0.96,-0.04,-0.44,-0.36,-0.21,0.11,-0.12,-0.59,-0.2,0.32,0.64,1.0
